"CODE,N,6,0","NAME,C,29","T_POPULAT°,N,12,0","DENSITY,N,10,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,12,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,8,0","T%_SC,N,8,2","M_SC,N,7,0","F_SC,N,7,0","SR_SC,N,8,0","T_ST,N,7,0","T%_ST,N,8,2","M_ST,N,7,0","F_ST,N,6,0","SR_ST,N,8,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,13,0","T%_WORKERS,N,14,2","M_WORKERS,N,14,0","F_WORKERS,N,14,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,14,0","T%_NONWORK,N,14,2","M_NONWORK,N,14,0","F_NONWORK,N,14,0","SR_NONWORK,N,14,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,13,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,13,0","T_SECUND,N,11,0","T%_SECUND,N,13,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,13,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,10,0","T%_MINING,N,12,2","M_MINING,N,11,0","F_MINING,N,10,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,10,0","T%_TRADE,N,12,2","M_TRADE,N,10,0","F_TRADE,N,10,0","SR_TRADE,N,11,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
4,Dharmapuri,2430658,252,506950,4.8,1251688,1178970,1062,383414,201260,182154,1105,347460,14.29,177876,169584,1049,47684,1.96,24760,22924,1080,941714,46,600713,341001,1762,1070923,44.06,713526,357397,1996,85968,3.54,2735,83233,33,1273767,52.4,535427,738340,725,864835,80.76,541773,323062,1677,71325,6.66,59947,11378,5269,134763,12.58,111806,22957,4870,497539,20.47,365016,132523,2754,359963,14.81,170590,189373,901,7333,0.3,6167,1166,5289,4504,0.19,3591,913,3933,10236,0.42,6209,4027,1542,44313,1.82,38670,5643,6853,12272,1.15,11477,795,14436,50629,4.73,45392,5237,8668,17152,1.6,16940,212,79906,66982,6.25,49474,17508,2826
6,South Arcot,4878110,458,1030435,4.7,2478778,2399332,1033,739878,375472,364406,1030,1323545,27.13,673376,650169,1036,58014,1.19,29468,28546,1032,2187217,52.85,1379443,807774,1708,1961166,40.2,1360655,600511,2266,169607,3.48,6807,162800,42,2747337,56.32,1111316,1636021,679,1572138,80.16,1024469,547669,1871,133973,6.83,121457,12516,9704,255055,13.01,214729,40326,5325,675493,13.85,542295,133198,4071,878567,18.01,465506,413061,1127,18078,0.37,16668,1410,11821,25582,0.52,24026,1556,15441,28855,0.59,22830,6025,3789,59939,1.23,56581,3358,16850,19597,1,18020,1577,11427,86677,4.42,78913,7764,10164,30341,1.55,29760,581,51222,138037,7.04,106056,31981,3316
8,Periyar,2320263,291,605546,3.8,1185256,1135007,1044,244323,126642,117681,1076,398123,17.16,203386,194737,1044,19194,0.83,9780,9414,1039,1116896,53.8,693866,423030,1640,1152410,49.67,772522,379888,2034,61150,2.64,2233,58917,38,1106703,47.7,410501,696202,590,731373,63.46,435672,295701,1473,215054,18.66,164128,50926,3223,205983,17.87,172722,33261,5193,274235,11.82,195335,78900,2476,450036,19.4,234795,215241,1091,7102,0.31,5542,1560,3553,1528,0.07,1129,399,2830,46944,2.02,31538,15406,2047,139634,6.02,109618,30016,3652,26948,2.34,21843,5105,4279,90189,7.83,80813,9376,8619,33983,2.95,32697,1286,25425,81811,7.1,59212,22599,2620
10,Coimbatore,3508374,490,858566,4.1,1797189,1711185,1050,381025,193821,187204,1035,575279,16.4,290780,284499,1022,26158,0.75,13456,12702,1059,2075023,66.35,1225782,849241,1443,1552076,44.24,1121047,431029,2601,31376,0.89,1919,29457,65,1924922,54.87,674223,1250699,539,690601,44.5,403156,287445,1403,468650,30.2,390432,78218,4992,392825,25.31,327459,65366,5010,185562,5.29,136520,49042,2784,455700,12.99,240334,215366,1116,49339,1.41,26302,23037,1142,2189,0.06,1605,584,2748,46151,1.32,34052,12099,2814,367119,10.46,311072,56047,5550,53191,3.43,43703,9488,4606,168703,10.87,151264,17439,8674,60491,3.9,57879,2612,22159,163631,10.54,118316,45315,2611
11,Dindigul Anna,1760601,307,407637,4.3,890783,869818,1024,219406,113443,105963,1071,341703,19.41,173098,168605,1027,9511,0.54,4904,4607,1064,873499,56.68,537829,335670,1602,832493,47.28,529891,302602,1751,32277,1.83,1568,30709,51,895831,50.88,359324,536507,670,607942,73.03,347981,259961,1339,77068,9.26,61857,15211,4067,147483,17.72,120053,27430,4377,216559,12.3,149874,66685,2247,366338,20.81,181821,184517,985,25045,1.42,16286,8759,1859,1072,0.06,822,250,3288,18655,1.06,12064,6591,1830,46828,2.66,40199,6629,6064,10513,1.26,8772,1741,5038,62601,7.52,56378,6223,9060,15430,1.85,15061,369,40816,69452,8.34,48614,20838,2333
16,Madurai,3449662,508,772676,4.5,1756351,1693311,1037,460271,239961,220310,1089,503570,14.6,255596,247974,1031,12737,0.37,6588,6149,1071,1985160,66.41,1178827,806333,1462,1454729,42.17,976272,478457,2040,62854,1.82,3404,59450,57,1932079,56.01,776675,1155404,672,899244,61.82,513106,386138,1329,190251,13.08,155724,34527,4510,365234,25.11,307442,57792,5320,249751,7.24,177084,72667,2437,636323,18.45,326359,309964,1053,13170,0.38,9663,3507,2755,3905,0.11,2522,1383,1824,19693,0.57,11475,8218,1396,137832,4,115625,22207,5207,28821,1.98,26102,2719,9600,163953,11.27,150216,13737,10935,49306,3.39,47982,1324,36240,151975,10.45,109244,42731,2557
14,Pudukkottai,1327148,289,271825,4.9,661782,665366,995,182596,92393,90203,1024,223228,16.82,111826,111402,1004,769,0.06,399,370,1078,659597,57.63,408700,250897,1629,516835,38.94,363037,153798,2360,70419,5.31,4651,65768,71,739894,55.75,294094,445800,660,389544,75.37,255525,134019,1907,45265,8.76,38406,6859,5599,82026,15.87,69106,12920,5349,251181,18.93,186962,64219,2911,133588,10.07,64225,69363,926,4775,0.36,4338,437,9927,2131,0.16,1563,568,2752,7346,0.55,5202,2144,2426,29756,2.24,26143,3613,7236,6032,1.17,5498,534,10296,35003,6.77,33191,1812,18317,7227,1.4,7043,184,38277,39796,7.7,28872,10924,2643
13,Thanjavur,4531457,585,998065,4.5,2273597,2257860,1007,600831,305276,295555,1033,1095474,24.17,552770,542704,1019,9812,0.22,4938,4874,1013,2595005,66.02,1520266,1074739,1415,1705079,37.63,1266121,438958,2884,133688,2.95,11186,122502,91,2692690,59.42,996290,1696400,587,1233487,72.34,857061,376426,2277,132379,7.76,116737,15642,7463,339213,19.89,292323,46890,6234,377553,8.33,326934,50619,6459,833986,18.4,508796,325190,1565,21948,0.48,21331,617,34572,419,0.01,386,33,11697,32327,0.71,23101,9226,2504,73979,1.63,68799,5180,13282,25654,1.5,24451,1203,20325,146179,8.57,135007,11172,12084,36346,2.13,35565,781,45538,156688,9.19,121751,34937,3485
7,Salem,3895225,462,962044,4,2011327,1883898,1068,472333,255508,216825,1178,650580,16.7,335330,315250,1064,136126,3.49,69475,66651,1042,1824929,53.32,1133869,691060,1641,1802578,46.28,1222918,579660,2110,115561,2.97,4117,111444,37,1977086,50.76,784292,1192794,658,1100149,61.03,651672,448477,1453,387582,21.5,307862,79720,3862,314847,17.47,263384,51463,5118,464859,11.93,325501,139358,2336,618285,15.87,314732,303553,1037,17005,0.44,11439,5566,2055,9708,0.25,7747,1961,3951,105481,2.71,73972,31509,2348,238513,6.12,196973,41540,4742,33880,1.88,29170,4710,6193,122431,6.79,108060,14371,7519,58447,3.24,57528,919,62598,133969,7.43,97796,36173,2704
12,Tiruchirappalli,4134995,385,961368,4.3,2084228,2050767,1016,531595,271958,259637,1047,791086,19.13,397473,393613,1010,28302,0.68,14419,13883,1039,2206320,61.23,1329511,876809,1516,1800276,43.54,1199636,600640,1997,118343,2.86,4939,113404,44,2216376,53.6,879653,1336723,658,1254616,69.69,741604,513012,1446,223970,12.44,185538,38432,4828,321690,17.87,272494,49196,5539,601206,14.54,424050,177156,2394,647883,15.67,313408,334475,937,5527,0.13,4146,1381,3002,2822,0.07,2200,622,3537,52645,1.27,34743,17902,1941,143257,3.46,126091,17166,7345,25246,1.4,22504,2742,8207,135126,7.51,124785,10341,12067,47916,2.66,46329,1587,29193,138648,7.7,101380,37268,2720
