"CODE,N,5,0","NAME,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,7,0","T%_SC,N,7,2","M_SC,N,12,0","F_SC,N,12,0","SR_SC,N,12,0","T_ST,N,12,0","T%_ST,N,7,2","M_ST,N,12,0","F_ST,N,12,0","SR_ST,N,12,0","T_LITTERAT,N,12,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,12,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,12,0","F_WORKERS,N,12,0","SR_WORKERS,N,12,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,12,0","F_MARGINAL,N,12,0","SR_MARGINA,N,12,0","T_NONWORK,N,12,0","T%_NONWORK,N,14,2","M_NONWORK,N,12,0","F_NONWORK,N,12,0","SR_NONWORK,N,12,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,12,0","T_SECUND,N,12,0","T%_SECUND,N,12,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,12,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,12,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,12,0","T%_MINING,N,11,2","M_MINING,N,12,0","F_MINING,N,12,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,12,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,12,0","F_CONSTRUC,N,12,0","SR_CONSTRU,N,12,0","T_TRADE,N,12,0","T%_TRADE,N,11,2","M_TRADE,N,12,0","F_TRADE,N,12,0","SR_TRADE,N,12,0","T_TRANSPOR,N,12,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,12,0","F_TRANSPOR,N,12,0","SR_TRANSPO,N,12,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,12,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","LU_FOREST,N,11,2","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,2","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,2","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,2","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,2","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1102,Vedasandur,Dindigul Anna,248691,231,57031,4.4,124811,123880,1008,31266,16186,15080,1073,45079,9.1,22643,22436,1009,963,0.2,487,476,1023,103131,47.43,66979,36152,1853,132395,31.02,77138,55257,1396,3852,0.07,162,3690,44,112444,19.1,47511,64933,732,112350,84.56,61313,51037,1201,8243,6.53,6450,1793,3597,11802,8.91,9375,2427,3863,47941,42.74,32001,15940,2008,63693,48.11,28765,34928,824,318,0.0,224,94,2383,398,0.3,323,75,4307,2701,2.04,1826,875,2087,4849,3.66,3996,853,4685,693,0.52,628,65,9662,4251,3.21,3942,309,12757,1021,0.77,992,29,34207,6530,4.93,4441,2089,2126,8.16,10.93,30772.46,45.65,36639.84,54.35,14111.92,13.13,14232.85,13.24,28305.65,21.33,2441.3,0.0,4.27,0.0,0.0,0.0
1101,Palani,Dindigul Anna,334388,229,85231,3.9,168916,165472,1021,34374,17653,16721,1056,83483,12.57,42035,41448,1014,994,0.16,525,469,1119,154488,51.49,99491,54997,1809,186962,32.98,110285,76677,1438,6680,0.14,475,6205,77,140746,17.39,58156,82590,704,153365,81.78,83523,69842,1196,12621,7.0,9764,2857,3418,20976,11.22,16998,3978,4273,59201,36.21,39080,20121,1942,92672,49.57,43405,49267,881,1029,0.01,718,311,2309,463,0.25,320,143,2238,3027,1.62,1941,1086,1787,7510,4.02,6108,1402,4357,2084,1.11,1715,369,4648,8509,4.55,7587,922,8229,1802,0.96,1745,57,30614,10665,5.7,7666,2999,2556,6222.88,4.64,42712.03,43.7,55029.33,56.3,23150.67,15.83,18534.52,12.68,33494.19,63.64,4397.58,0.0,53.97,4320.91,224.0,158.05
1103,Nattam,Dindigul Anna,100117,170,21360,4.7,50565,49552,1020,15184,7738,7446,1039,11499,5.86,5869,5630,1042,0,0.0,0,0,0,37115,43.7,25081,12034,2084,50497,30.18,30214,20283,1490,3083,0.06,59,3024,20,46537,20.27,20292,26245,773,47668,94.35,28020,19648,1426,555,1.15,464,91,5099,2274,4.5,1730,544,3180,21581,24.53,14801,6780,2183,26013,51.51,13148,12865,1022,48,0.0,45,3,15000,26,0.05,26,0,0,209,0.41,149,60,2483,283,0.56,255,28,9107,63,0.12,60,3,20000,759,1.5,687,72,9542,180,0.36,179,1,179000,1335,2.64,864,471,1834,0.0,45.09,3983.03,25.01,11939.84,74.99,9894.28,16.77,6576.81,11.15,2521.93,0.0,1461.1,0.0,0.0,0.0,0.0,0.0
1104,Dindigul,Dindigul Anna,436035,244,100960,4.3,220225,215810,1020,57398,29643,27755,1068,98943,11.5,50125,48818,1027,2622,0.31,1339,1283,1044,197136,52.06,123643,73493,1682,213452,30.0,130789,82663,1582,9763,0.1,457,9306,49,212820,20.41,88979,123841,718,169300,79.28,96205,73095,1316,18148,8.54,14702,3446,4266,26004,12.18,19882,6122,3248,52355,13.5,36654,15701,2335,113015,52.95,56885,56130,1013,3852,0.02,2598,1254,2072,78,0.04,68,10,6800,3892,1.82,2504,1388,1804,12301,5.76,10586,1715,6173,1955,0.92,1612,343,4700,9260,4.34,7702,1558,4944,2772,1.3,2718,54,50333,13972,6.55,9462,4510,2098,26963.58,16.63,23064.7,39.23,35721.04,60.77,9563.2,5.35,75058.47,42.02,16012.31,0.0,6356.34,0.0,0.0,693.65,0.0,0.0
1105,Kodaikanal,Dindigul Anna,71175,190,17778,4.0,36485,34690,1052,9850,5049,4801,1052,11360,8.3,5910,5450,1084,2239,1.62,1153,1086,1062,34430,56.14,21733,12697,1712,36365,32.25,22954,13411,1712,1741,0.07,52,1689,31,33069,18.94,13479,19590,688,31412,86.37,19281,12131,1589,595,1.64,506,89,5685,4358,11.98,3167,1191,2659,4910,28.63,3372,1538,2192,9516,26.17,5506,4010,1373,16983,0.47,10400,6583,1580,3,0.01,3,0,0,51,0.14,41,10,4100,328,0.9,292,36,8111,216,0.59,173,43,4023,1134,3.12,968,166,5831,260,0.71,258,2,129000,2964,8.15,1941,1023,1897,191.0,0.51,2613.0,11.88,19382.0,88.12,7789.0,20.8,7471.16,19.95,0.0,0.0,0.0,0.0,2613.0,0.0,0.0,0.0
1106,Nilakkottai,Dindigul Anna,193174,431,43922,4.4,98120,95054,1032,26988,14385,12603,1141,53715,14.19,27421,26294,1043,1221,0.32,619,602,1028,90180,54.26,56003,34177,1639,87547,29.06,56139,31408,1787,4928,0.06,115,4813,24,100699,21.67,41866,58833,712,74269,84.81,45664,28605,1596,3889,4.47,3144,745,4220,9389,10.72,7331,2058,3562,25069,38.84,19267,5802,3321,48679,55.6,25931,22748,1140,501,0.01,446,55,8109,20,0.02,20,0,0,1175,1.34,806,369,2184,2148,2.45,1798,350,5137,566,0.65,540,26,20769,3407,3.89,3060,347,8818,1140,1.3,1131,9,125667,4842,5.53,3140,1702,1845,0.0,3.51,13995.25,46.6,16039.7,53.4,4162.44,9.28,9057.56,20.21,174.0,0.0,9409.09,0.0,0.0,4412.16,0.0,0.0
