"CODE,N,5,0","NAME,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,7,0","T%_SC,N,7,2","M_SC,N,12,0","F_SC,N,12,0","SR_SC,N,12,0","T_ST,N,12,0","T%_ST,N,7,2","M_ST,N,12,0","F_ST,N,12,0","SR_ST,N,12,0","T_LITTERAT,N,12,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,12,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,12,0","F_WORKERS,N,12,0","SR_WORKERS,N,12,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,12,0","F_MARGINAL,N,12,0","SR_MARGINA,N,12,0","T_NONWORK,N,12,0","T%_NONWORK,N,14,2","M_NONWORK,N,12,0","F_NONWORK,N,12,0","SR_NONWORK,N,12,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,12,0","T_SECUND,N,12,0","T%_SECUND,N,12,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,12,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,12,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,12,0","T%_MINING,N,11,2","M_MINING,N,12,0","F_MINING,N,12,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,12,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,12,0","F_CONSTRUC,N,12,0","SR_CONSTRU,N,12,0","T_TRADE,N,12,0","T%_TRADE,N,11,2","M_TRADE,N,12,0","F_TRADE,N,12,0","SR_TRADE,N,12,0","T_TRANSPOR,N,12,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,12,0","F_TRANSPOR,N,12,0","SR_TRANSPO,N,12,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,12,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","LU_FOREST,N,11,2","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,2","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,2","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,2","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,2","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1301,Sirkazhi,Thanjavur,212922,523,48118,4.4,107477,105445,1019,29750,15036,14714,1022,79308,18.75,39924,39384,1014,803,0.19,411,392,1048,107718,58.81,65366,42352,1543,84890,28.98,61710,23180,2662,9122,0.29,622,8500,73,118910,21.2,45145,73765,612,71431,84.1,50461,20970,2406,3784,4.5,3407,377,9037,9675,11.4,7842,1833,4278,15684,17.04,14140,1544,9158,52119,61.4,32719,19400,1687,3588,0.04,3562,26,137000,40,0.05,40,0,0,889,1.05,571,318,1796,1815,2.14,1762,53,33245,1080,1.27,1074,6,179000,3962,4.67,3140,822,3820,857,1.01,840,17,49412,4856,5.72,3862,994,3885,1123.85,2.76,22307.0,82.74,4652.37,17.26,1068.15,2.62,11546.96,28.37,0.0,0.0,0.0,0.0,0.0,22307.0,0.0,0.0
1318,Vedaranniyam,Thanjavur,166393,337,40482,4.1,84215,82178,1025,20324,10408,9916,1050,36089,11.02,18329,17760,1032,57,0.02,26,31,839,93767,64.19,57359,36408,1575,65049,28.76,47852,17197,2783,10117,0.58,972,9145,106,91227,21.27,35391,55836,634,55416,85.19,39951,15465,2583,2722,4.19,2007,715,2807,6911,10.62,5894,1017,5795,23636,33.28,20417,3219,6343,30350,46.66,18144,12206,1486,1429,0.02,1389,40,34725,1,0.0,1,0,0,928,1.43,445,483,921,1519,2.34,1301,218,5968,275,0.42,261,14,18643,2374,3.65,2151,223,9646,543,0.83,537,6,89500,3994,6.14,3206,788,4069,1954.36,6.46,8428.31,28.27,21390.52,71.73,4030.41,8.16,10370.29,20.99,0.0,0.0,0.0,0.0,8428.31,0.0,0.0,0.0
1317,Tirutturaippundi,Thanjavur,172876,308,41749,4.1,87132,85744,1016,21162,10693,10469,1021,70109,20.47,35380,34729,1019,275,0.08,143,132,1083,93116,61.38,56521,36595,1545,77196,29.66,51276,25920,1978,5716,0.39,677,5039,134,89964,20.35,35179,54785,642,67149,86.98,42513,24636,1726,2324,3.01,2047,277,7390,7723,10.0,6716,1007,6669,18046,36.34,14950,3096,4829,48528,62.86,27008,21520,1255,574,0.01,554,20,27700,1,0.0,1,0,0,737,0.95,521,216,2412,1141,1.48,1088,53,20528,446,0.58,438,8,54750,2765,3.58,2611,154,16955,875,1.13,866,9,96222,4083,5.29,3239,844,3838,0.0,17.99,29481.49,87.73,4121.42,12.27,3750.55,6.68,8723.9,15.53,0.0,0.0,0.0,0.0,29481.49,0.0,0.0,0.0
1319,Pattukkottai,Thanjavur,256620,368,57559,4.5,128107,128513,997,31321,16187,15134,1070,33855,6.56,16828,17027,988,257,0.05,140,117,1197,130429,57.89,79444,50985,1558,112034,29.27,75119,36915,2035,8886,0.34,862,8024,107,135700,20.31,52126,83574,624,98296,87.74,63632,34664,1836,3078,2.75,2671,407,6563,10660,9.51,8816,1844,4781,37289,33.85,29372,7917,3710,59635,53.23,32940,26695,1234,1370,0.01,1319,51,25863,2,0.0,1,1,1000,952,0.85,667,285,2340,1637,1.46,1534,103,14893,489,0.44,470,19,24737,4565,4.07,4178,387,10796,795,0.71,782,13,60154,5300,4.73,3856,1444,2670,311.32,0.45,30673.44,69.98,13266.06,30.02,9059.56,13.14,16224.58,23.28,0.0,0.0,0.0,0.0,0.0,30698.44,0.0,0.0
1320,Peravurani,Thanjavur,112135,395,25077,4.5,55717,56418,988,14245,7283,6962,1046,10202,4.5,5049,5153,980,148,0.07,81,67,1209,58249,59.5,35279,22970,1536,47113,29.35,32917,14196,2319,5782,0.34,382,5400,71,59240,19.99,22418,36822,609,38919,82.6,26036,12883,2021,1743,3.71,1551,192,8078,6451,13.69,5330,1121,4755,15947,50.62,12841,3106,4134,21509,45.65,11769,9740,1208,1460,0.03,1423,37,38459,3,0.01,3,0,0,374,0.79,274,100,2740,1031,2.19,961,70,13729,338,0.72,316,22,14364,3059,6.49,2712,347,7816,407,0.86,403,4,100750,2985,6.34,2215,770,2877,0.0,0.0,12149.34,73.34,4485.05,26.66,1103.31,4.7,9598.76,35.17,0.0,0.0,0.0,0.0,0.0,12794.3,0.0,0.0
1304,Tiruvidaimarudur,Thanjavur,155680,618,34763,4.5,78198,77482,1009,22610,11352,11258,1008,48717,15.87,24700,24017,1028,261,0.09,135,126,1071,81555,61.29,49080,32475,1511,58239,28.81,44844,13395,3348,5485,0.34,526,4959,106,91956,21.09,32828,59128,555,46162,79.25,34584,11578,2987,4677,8.04,3830,847,4522,7400,12.71,6430,970,6629,15984,17.53,14255,1729,8245,29982,51.48,20152,9830,2050,189,0.0,170,19,8947,7,0.01,7,0,0,1928,3.31,1279,649,1971,1893,3.25,1699,194,8758,856,1.47,852,4,213000,2856,4.9,2637,219,12041,888,1.52,877,11,79727,3656,6.28,2916,740,3941,53.0,0.21,15982.02,91.51,1486.15,8.49,3265.04,12.97,4331.65,17.22,0.0,0.0,0.0,0.0,16034.07,0.0,0.0,0.0
1305,Kumbakonam,Thanjavur,205692,811,44539,4.6,103691,102001,1017,29446,14928,14518,1028,50242,12.4,25513,24729,1032,290,0.07,143,147,973,115315,65.43,68132,47183,1444,75291,28.44,58493,16798,3482,4972,0.2,415,4557,91,125429,21.77,44783,80646,555,51938,68.98,38104,13834,2754,9511,12.64,8374,1137,7365,13842,18.38,12015,1827,6576,13199,22.99,11949,1250,9559,38668,51.36,26092,12576,2075,65,0.0,57,8,7125,6,0.01,6,0,0,3086,4.1,2203,883,2495,5292,7.03,5079,213,23845,1133,1.5,1092,41,26634,6202,8.24,5652,550,10276,1863,2.47,1821,42,43357,5777,7.67,4542,1235,3678,0.0,0.0,16850.89,81.23,3894.31,18.77,1051.47,4.15,3568.74,14.07,0.0,0.0,0.0,0.0,16850.89,0.0,0.0,0.0
1312,Nagappattinam,Thanjavur,123058,422,29529,4.2,61405,61653,996,17064,8604,8460,1017,44096,18.12,22295,21801,1023,253,0.1,125,128,977,68111,64.26,40217,27894,1442,47748,27.15,33406,14342,2329,3306,0.48,587,2719,216,72004,22.28,27412,44592,615,38348,80.3,25229,13119,1923,2051,4.31,1896,155,12232,7349,15.39,6281,1068,5881,8279,15.74,7506,773,9710,29571,61.93,17244,12327,1399,493,0.01,474,19,24947,5,0.01,5,0,0,352,0.74,245,107,2290,1198,2.51,1154,44,26227,501,1.05,497,4,124250,3435,7.19,3060,375,8160,622,1.3,615,7,87857,3292,6.89,2606,686,3799,0.0,0.0,17204.15,82.5,3659.9,17.5,706.94,2.42,7475.74,25.62,0.0,0.0,0.0,0.0,17319.15,0.0,0.0,0.0
1313,Thiruvarur,Thanjavur,140175,472,33139,4.2,70337,69838,1007,19145,9577,9568,1001,62693,22.6,31680,31013,1022,340,0.13,176,164,1073,80257,66.31,47353,32904,1439,58937,28.37,39768,19169,2075,3097,0.1,135,2962,46,78141,21.71,30434,47707,638,46871,79.49,28980,17891,1620,3077,5.26,2889,188,15367,8989,15.25,7899,1090,7247,9276,19.4,8054,1222,6591,37466,63.57,20803,16663,1248,106,0.0,100,6,16667,23,0.04,23,0,0,489,0.83,392,97,4041,1900,3.22,1823,77,23675,688,1.17,674,14,48143,3679,6.24,3502,177,19785,1138,1.93,1130,8,141250,4172,7.08,3267,905,3610,0.0,0.0,21478.39,92.55,1730.12,7.45,2185.94,7.36,4289.95,14.45,0.0,0.0,0.0,0.0,0.0,21478.42,0.0,0.0
1316,Orattanadu,Thanjavur,221291,389,47267,4.7,110463,110828,997,28319,14448,13871,1042,35471,8.0,17700,17771,996,25,0.0,11,14,786,104481,54.21,65382,39099,1672,91341,28.7,63514,27827,2282,12615,0.31,694,11921,58,117335,20.9,46255,71080,651,82716,90.59,56255,26461,2126,1914,2.08,1677,237,7076,6711,7.33,5582,1129,4944,41347,23.38,33723,7624,4423,41224,44.92,22399,18825,1190,141,0.0,129,12,10750,4,0.0,4,0,0,943,1.02,735,208,3534,773,0.84,748,25,29920,198,0.22,194,4,48500,1921,2.09,1772,149,11893,484,0.54,477,7,68143,4306,4.71,3333,973,3425,0.0,0.0,25072.57,70.49,10539.55,29.51,12059.18,20.85,8605.29,15.57,0.0,0.0,24663.25,0.0,868.9,0.0,0.0,0.0
1307,Thiruvaiyaru,Thanjavur,144927,545,32752,4.4,72486,72441,1001,19543,10035,9508,1055,37537,12.92,18723,18814,995,51,0.01,21,30,700,82245,65.59,47928,34317,1397,54633,28.05,40652,13981,2908,4751,0.4,583,4168,140,85543,21.56,31251,54292,576,46918,85.87,34289,12629,2715,1957,3.59,1613,344,4689,5758,10.54,4750,1008,4712,13770,29.28,12197,1573,7754,32931,60.28,21898,11033,1985,215,0.0,192,23,8348,2,0.0,2,0,0,792,1.45,560,232,2414,926,1.69,823,103,7990,239,0.44,230,9,25556,1947,3.56,1763,184,9582,564,1.03,557,7,79571,3247,5.94,2430,817,2974,0.0,0.0,18110.71,89.98,2032.02,10.02,1531.62,5.81,4690.54,17.74,0.0,0.0,0.0,0.0,18286.44,0.0,0.0,0.0
1308,Thanjavur,Thanjavur,194048,323,41881,4.6,97760,96288,1015,26286,13357,12929,1033,46498,12.11,23499,22999,1022,244,0.06,119,125,952,107661,64.17,64005,43656,1466,77642,28.19,54696,22946,2384,6579,0.12,232,6347,37,109827,22.07,42832,66995,639,60068,77.26,39622,20446,1938,5933,7.75,5290,643,8227,11641,14.99,9784,1857,5269,22733,21.39,17961,4772,3764,36984,47.63,21360,15624,1367,268,0.0,242,26,9308,83,0.11,59,24,2458,1103,1.42,801,302,2652,3694,4.76,3419,275,12433,1136,1.46,1070,66,16212,3657,4.71,3296,361,9130,1394,1.8,1339,55,24345,6590,8.49,5149,1441,3573,109.18,0.18,22740.44,70.15,9677.48,29.85,6446.41,10.74,21071.75,35.09,0.0,0.0,815.8,1463.06,591.37,19870.22,0.0,0.0
1314,Nidamangalam,Thanjavur,97951,461,23160,4.2,49326,48625,1014,14571,7476,7095,1054,40955,21.21,20777,20178,1030,73,0.04,40,33,1212,51502,61.77,30660,20842,1471,40766,28.62,28034,12732,2202,2828,0.13,130,2698,48,54357,21.6,21162,33195,638,34270,84.05,22313,11957,1866,1882,4.64,1775,107,16589,4614,11.32,3946,668,5907,7907,28.23,7261,646,11240,26231,64.35,14932,11299,1322,124,0.0,114,10,11400,8,0.02,6,2,3000,317,0.78,252,65,3877,1213,2.98,1181,32,36906,352,0.86,342,10,34200,1960,4.81,1825,135,13519,485,1.19,476,9,52889,2169,5.32,1645,524,3139,0.0,0.0,14004.0,96.0,546.0,4.0,20.0,0.09,6495.65,30.85,0.0,0.0,222.0,0.0,13862.0,0.0,0.0,0.0
1315,Mannargudi,Thanjavur,217056,401,50888,4.3,109017,108039,1009,28211,14143,14068,1005,62572,14.53,31542,31030,1017,166,0.04,89,77,1156,115701,61.27,70105,45596,1538,89455,29.47,63977,25478,2511,7603,0.2,427,7176,60,119998,20.55,44613,75385,592,78382,87.61,54609,23773,2297,2520,2.83,2167,353,6139,8553,9.56,7201,1352,5326,25256,45.52,23192,2064,11236,52924,59.16,31224,21700,1439,191,0.0,182,9,20222,11,0.01,11,0,0,839,0.94,555,284,1954,1330,1.49,1268,62,20452,351,0.39,344,7,49143,3232,3.61,2894,338,8562,787,0.88,781,6,130167,4534,5.07,3526,1008,3498,0.0,0.0,37502.8,87.67,5274.27,12.33,2656.15,4.91,8712.86,16.1,0.0,0.0,0.0,0.0,37502.8,0.0,0.0,0.0
1311,Nannilam,Thanjavur,204401,473,46029,4.4,102486,101915,1006,28619,14593,14026,1040,70615,17.61,35995,34620,1040,486,0.12,241,245,984,118515,67.42,69723,48792,1429,79304,28.03,57286,22018,2602,7085,0.18,364,6721,54,118012,21.94,44836,73176,613,64727,81.48,44520,20207,2203,3502,4.55,3253,249,13064,11075,13.97,9513,1562,6090,14996,17.34,13190,1806,7303,49476,62.39,31085,18391,1690,146,0.0,137,9,15222,109,0.14,108,1,108000,671,0.85,523,148,3534,1775,2.24,1692,83,20386,1056,1.33,1038,18,57667,3825,4.82,3628,197,18416,1221,1.54,1213,8,151625,6029,7.6,4672,1357,3443,0.0,0.0,30858.31,89.77,3516.51,10.23,2057.6,4.76,6763.79,15.67,0.0,0.0,0.0,0.0,30858.31,0.0,0.0,0.0
