"CODE,N,5,0","NAME,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,7,0","T%_SC,N,7,2","M_SC,N,12,0","F_SC,N,12,0","SR_SC,N,12,0","T_ST,N,12,0","T%_ST,N,7,2","M_ST,N,12,0","F_ST,N,12,0","SR_ST,N,12,0","T_LITTERAT,N,12,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,12,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,12,0","F_WORKERS,N,12,0","SR_WORKERS,N,12,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,12,0","F_MARGINAL,N,12,0","SR_MARGINA,N,12,0","T_NONWORK,N,12,0","T%_NONWORK,N,14,2","M_NONWORK,N,12,0","F_NONWORK,N,12,0","SR_NONWORK,N,12,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,12,0","T_SECUND,N,12,0","T%_SECUND,N,12,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,12,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,12,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,12,0","T%_MINING,N,11,2","M_MINING,N,12,0","F_MINING,N,12,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,12,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,12,0","F_CONSTRUC,N,12,0","SR_CONSTRU,N,12,0","T_TRADE,N,12,0","T%_TRADE,N,11,2","M_TRADE,N,12,0","F_TRADE,N,12,0","SR_TRADE,N,12,0","T_TRANSPOR,N,12,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,12,0","F_TRANSPOR,N,12,0","SR_TRANSPO,N,12,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,12,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","LU_FOREST,N,11,2","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,2","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,2","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,2","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,2","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1204,Udayarpalayam,Tiruchirappalli,324672,344,75467,4.3,164859,159813,1032,44372,22670,21702,1045,68354,10.81,35101,33253,1056,5511,0.87,2812,2699,1042,139858,49.9,90810,49048,1851,137717,29.87,96976,40741,2380,21191,0.12,375,20816,18,165764,20.79,67508,98256,687,116314,84.43,79515,36799,2161,9358,6.82,7422,1936,3834,12045,8.75,10039,2006,5004,66202,37.87,50824,15378,3305,49828,36.18,28458,21370,1332,247,0.0,199,48,4146,37,0.03,34,3,11333,6372,4.63,4742,1630,2909,2524,1.83,2222,302,7358,462,0.34,458,4,114500,4255,3.09,3816,439,8692,1018,0.74,1004,14,71714,6772,4.92,5219,1553,3361,2391.33,6.55,6074.29,9.05,60226.12,90.95,4573.74,4.88,14355.93,15.28,18.21,0.0,6059.97,0.0,0.0,0.0,0.0,0.0
1203,Ariyalur,Tiruchirappalli,289522,294,69823,4.1,146038,143484,1018,42217,21628,20589,1050,63743,11.07,32040,31703,1011,1589,0.28,825,764,1080,113438,45.87,75603,37835,1998,141365,30.63,88679,52686,1683,21539,0.24,704,20835,34,126618,19.57,56655,69963,810,127236,89.89,77127,50109,1539,5227,3.81,4471,756,5914,8902,6.3,7081,1821,3889,74766,48.07,51464,23302,2209,51995,36.78,25262,26733,945,312,0.0,238,74,3216,163,0.12,163,0,0,2261,1.6,1597,664,2405,2492,1.76,2406,86,27977,474,0.34,468,6,78000,2707,1.91,2401,306,7846,886,0.63,870,16,54375,5309,3.76,3810,1499,2542,1883.53,1.91,13632.43,20.0,54513.74,80.0,7099.9,7.22,21267.35,21.61,2061.54,200.75,3357.98,0.0,0.0,7963.33,0.0,48.83
1202,Perambalur,Tiruchirappalli,424581,247,100422,4.2,214949,209632,1025,57033,29010,28023,1035,127723,15.2,64539,63184,1021,3446,0.42,1775,1671,1062,183525,49.93,117764,65761,1791,218396,30.2,128218,90178,1422,17215,0.21,889,16326,54,188970,20.22,85842,103128,832,198126,90.53,111866,86260,1297,7074,3.43,5863,1211,4841,13196,6.04,10489,2707,3875,114828,52.89,75656,39172,1931,82430,37.74,35505,46925,757,458,0.0,374,84,4452,410,0.19,331,79,4190,2025,0.93,1436,589,2438,3808,1.74,3277,531,6171,1241,0.57,1150,91,12637,3768,1.73,3285,483,6801,1389,0.64,1369,20,68450,8039,3.68,5835,2204,2647,10456.0,10.48,6149.97,5.83,110444.36,94.17,6180.7,3.69,27574.38,16.42,0.0,0.0,6952.2,0.0,0.0,0.0,0.0,0.0
1201,Turaiyur,Tiruchirappalli,227247,229,58019,3.9,113530,113717,998,24906,12755,12151,1050,50830,11.24,25533,25297,1009,9777,2.17,4941,4836,1022,120508,59.56,72307,48201,1500,114141,29.54,67137,47004,1428,3300,0.05,120,3180,38,109806,20.36,46273,63533,728,98492,85.98,54410,44082,1234,4930,4.63,3795,1135,3344,10719,9.39,8932,1787,4998,44328,52.58,30847,13481,2288,53337,46.73,22903,30434,753,468,0.0,380,88,4318,359,0.31,280,79,3544,2335,2.05,1473,862,1709,1665,1.46,1486,179,8302,930,0.81,836,94,8894,3217,2.82,2834,383,7399,1914,1.68,1895,19,99737,5588,4.9,4203,1385,3035,3317.27,22.3,19428.77,36.24,34118.98,63.76,11289.67,11.44,12077.89,12.18,19139.07,0.0,304.7,0.0,0.0,0.0,0.0,0.0
1205,Lalgudi,Tiruchirappalli,313984,339,75165,4.2,156658,157326,996,42227,21591,20636,1046,63112,10.0,31405,31707,990,685,0.1,329,356,924,169904,62.52,101917,67987,1499,141899,28.92,90791,51108,1776,10964,0.23,735,10229,72,161121,20.74,65132,95989,679,112495,79.16,67516,44979,1501,12999,9.28,10152,2847,3566,16405,11.56,13123,3282,3998,53740,30.62,37593,16147,2328,58182,41.0,29503,28679,1029,408,0.0,305,103,2961,165,0.12,115,50,2300,5512,3.88,3723,1789,2081,6456,4.55,5476,980,5588,1031,0.73,953,78,12218,5339,3.76,4638,701,6616,2222,1.57,2165,57,37982,8844,6.23,6320,2524,2504,2309.23,2.73,22777.75,38.37,36530.17,61.63,9715.27,10.61,20752.62,22.43,13489.46,587.49,8722.07,0.0,0.0,0.0,0.0,0.0
1209,Tiruchirappalli,Tiruchirappalli,272020,508,60107,4.5,137306,134714,1019,37729,19120,18609,1027,54807,10.05,27333,27474,995,461,0.09,232,229,1013,164621,70.26,96033,68588,1400,99254,27.14,73815,25439,2902,5043,0.12,335,4708,71,167723,23.22,63156,104567,604,60223,60.66,39897,20326,1963,18760,18.92,17038,1722,9894,20271,20.42,16880,3391,4978,22120,46.76,17347,4773,3634,37618,37.9,22207,15411,1441,467,0.0,330,137,2409,18,0.02,13,5,2600,1885,1.9,1107,778,1423,14874,14.99,14143,731,19347,2001,2.02,1788,213,8394,7487,7.54,6645,842,7892,3292,3.32,3158,134,23567,9492,9.56,7077,2415,2930,161.99,0.31,19423.81,69.4,8735.61,30.6,7053.73,13.35,17169.35,32.28,9274.39,0.0,10599.19,0.0,0.0,0.0,0.0,0.0
1206,Musiri,Tiruchirappalli,231704,328,57929,4.0,116418,115286,1010,27983,14373,13610,1056,47923,10.34,23962,23961,1000,167,0.03,81,86,942,117094,57.48,72507,44587,1626,118024,30.46,70568,47456,1487,4653,0.19,431,4222,102,109027,19.6,45419,63608,714,99534,84.28,56389,43145,1307,9388,8.01,6528,2860,2283,9102,7.71,7651,1451,5273,36137,30.63,26643,9494,2806,62945,53.33,29409,33536,877,391,0.0,285,106,2689,61,0.05,52,9,5778,5768,4.89,3529,2239,1576,2864,2.43,2291,573,3998,756,0.64,708,48,14750,2568,2.18,2362,206,11466,1660,1.41,1649,11,149909,4874,4.13,3640,1234,2950,154.85,0.22,16833.02,33.75,33060.29,66.25,5693.48,8.08,14805.15,20.98,11963.86,51.0,2850.44,0.0,0.0,1967.75,0.0,0.0
1208,Kulittalai,Tiruchirappalli,343603,264,77860,4.4,172678,170925,1010,47689,24453,23236,1052,76336,11.09,38099,38237,996,1998,0.29,1003,995,1008,139015,46.98,90227,48788,1849,171122,30.47,104688,66434,1576,9285,0.07,255,9030,28,163196,19.71,67735,95461,710,145986,85.05,84213,61773,1363,12131,7.35,9620,2511,3831,13005,7.6,10855,2150,5049,54258,22.29,40669,13589,2993,90687,53.0,42758,47929,892,599,0.0,416,183,2273,442,0.26,370,72,5139,5080,2.97,3768,1312,2872,6249,3.65,5101,1148,4443,802,0.47,751,51,14725,4339,2.54,3917,422,9282,1858,1.09,1836,22,83455,6808,3.98,5102,1706,2991,6052.14,4.66,25135.43,34.84,47000.55,65.16,31168.91,23.93,20894.53,16.04,19485.29,0.0,5650.09,0.0,0.0,0.0,0.0,0.0
1210,Manapparai,Tiruchirappalli,266572,250,55965,4.8,133755,132817,1007,39935,20415,19520,1046,47502,8.91,23761,23741,1001,811,0.16,417,394,1058,109373,48.26,72505,36868,1967,127065,29.06,77467,49598,1562,6151,0.1,255,5896,43,133356,21.02,56033,77323,725,107307,84.4,60922,46385,1313,7391,5.87,6119,1272,4811,12367,9.73,10426,1941,5371,59412,18.48,40403,19009,2125,47438,37.33,20237,27201,744,393,0.0,225,168,1339,64,0.05,57,7,8143,1998,1.57,1471,527,2791,4532,3.57,3791,741,5116,861,0.68,857,4,214250,5154,4.06,4860,294,16531,1243,0.98,1229,14,87786,5970,4.7,4337,1633,2656,9159.95,17.48,12108.66,18.19,54455.81,81.81,4489.33,4.21,16955.59,15.9,9938.1,141.0,2029.56,0.0,0.0,0.0,0.0,0.0
1207,Karur,Tiruchirappalli,340239,218,90115,3.8,169684,170555,995,34357,17579,16778,1048,77110,11.35,38612,38498,1003,97,0.01,46,51,902,167137,54.64,105849,61288,1727,184419,32.7,111275,73144,1521,10913,0.07,254,10659,24,144907,17.09,58155,86752,670,134677,72.92,72899,61778,1180,28099,15.34,20692,7407,2794,21643,11.74,17684,3959,4467,56484,31.71,37135,19349,1919,77380,41.96,35269,42111,838,622,0.0,383,239,1603,191,0.1,112,79,1418,5669,3.07,3245,2424,1339,19972,10.83,15343,4629,3315,2458,1.33,2104,354,5944,8029,4.35,7317,712,10277,3112,1.69,3053,59,51746,10502,5.69,7314,3188,2294,0.0,0.0,27387.08,33.81,53600.03,66.19,47323.28,30.26,28083.69,17.96,20874.46,0.0,6512.62,0.0,0.0,0.0,0.0,0.0
