"CODE,N,5,0","NAME,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,7,0","T%_SC,N,7,2","M_SC,N,12,0","F_SC,N,12,0","SR_SC,N,12,0","T_ST,N,12,0","T%_ST,N,7,2","M_ST,N,12,0","F_ST,N,12,0","SR_ST,N,12,0","T_LITTERAT,N,12,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,12,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,12,0","F_WORKERS,N,12,0","SR_WORKERS,N,12,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,12,0","F_MARGINAL,N,12,0","SR_MARGINA,N,12,0","T_NONWORK,N,12,0","T%_NONWORK,N,14,2","M_NONWORK,N,12,0","F_NONWORK,N,12,0","SR_NONWORK,N,12,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,12,0","T_SECUND,N,12,0","T%_SECUND,N,12,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,12,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,12,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,12,0","T%_MINING,N,11,2","M_MINING,N,12,0","F_MINING,N,12,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,12,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,12,0","F_CONSTRUC,N,12,0","SR_CONSTRU,N,12,0","T_TRADE,N,12,0","T%_TRADE,N,11,2","M_TRADE,N,12,0","F_TRADE,N,12,0","SR_TRADE,N,12,0","T_TRANSPOR,N,12,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,12,0","F_TRANSPOR,N,12,0","SR_TRANSPO,N,12,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,12,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","LU_FOREST,N,11,2","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,2","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,2","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,2","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,2","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
805,Erode,Periyar,316990,465,85671,3.7,162030,154960,1046,31500,16399,15101,1086,58001,9.3,29483,28518,1034,89,0.02,54,35,1543,157574,55.19,98872,58702,1684,170344,33.79,107122,63222,1694,8457,0.06,191,8266,23,138189,17.26,54717,83472,656,121963,71.41,67835,54128,1253,25678,15.26,20459,5219,3920,22703,13.33,18828,3875,4859,47285,29.35,31178,16107,1936,73438,43.11,35670,37768,944,921,0.01,769,152,5059,319,0.19,218,101,2158,3992,2.34,2542,1450,1753,17397,10.21,14544,2853,5098,4289,2.52,3373,916,3682,8959,5.26,7865,1094,7189,3771,2.21,3699,72,51375,9973,5.85,7264,2709,2681,438.01,0.64,39131.03,74.71,13325.75,25.29,5687.72,8.27,8931.0,13.35,1312.58,0.0,271.37,0.0,0.0,37985.24,0.0,0.0
803,Gopichettipalaiy,Periyar,286676,436,77915,3.7,145936,140740,1037,29240,15274,13966,1094,53091,9.43,27039,26052,1038,1201,0.21,616,585,1053,116660,45.32,74479,42181,1766,151417,33.82,96959,54458,1780,10746,0.14,398,10348,38,124513,16.95,48579,75934,640,119902,79.13,71793,48109,1492,16327,10.84,12798,3529,3627,15188,10.03,12368,2820,4386,34412,27.45,26178,8234,3179,84620,55.89,44963,39657,1134,788,0.01,585,203,2882,82,0.05,67,15,4467,7587,5.01,5246,2341,2241,6539,4.32,5591,948,5898,2201,1.45,1961,240,8171,5482,3.62,4678,804,5818,1859,1.23,1835,24,76458,7847,5.18,5855,1992,2939,0.0,0.0,28514.57,57.43,21525.66,42.57,4742.35,7.21,6947.63,10.76,12510.09,0.0,144.22,0.0,389.72,16133.72,0.0,0.0
804,Perundurai,Periyar,237547,310,64139,3.7,121078,116469,1040,23799,12209,11590,1053,45523,9.86,23414,22109,1059,150,0.03,79,71,1113,104875,49.06,67466,37409,1803,122618,34.73,82507,40111,2057,10714,0.15,367,10347,35,104215,16.08,38204,66011,579,77513,63.11,47613,29900,1592,30762,25.19,22981,7781,2953,14343,11.7,11913,2430,4902,33659,27.76,23851,9808,2432,42963,35.04,23097,19866,1163,768,0.01,566,202,2802,123,0.1,99,24,4125,9477,7.73,6364,3113,2044,18643,15.2,14425,4218,3420,2642,2.15,2192,450,4871,5230,4.27,4646,584,7955,2546,2.08,2494,52,47962,6567,5.36,4773,1794,2661,505.24,1.36,14875.21,27.71,38806.76,72.29,12841.64,16.73,9185.79,11.96,9308.06,115.69,60.0,0.0,0.0,4492.37,0.0,899.18
802,Bhavani,Periyar,317140,214,82531,3.8,163396,153744,1063,34091,18128,15963,1136,54414,8.88,28157,26257,1072,6559,1.07,3395,3164,1073,119775,42.32,78137,41638,1877,165927,33.55,106394,59533,1787,9940,0.09,282,9658,29,141273,17.88,56720,84553,671,132719,79.81,80052,52667,1520,19500,11.93,15109,4391,3441,13708,8.26,11233,2475,4539,42768,22.73,31283,11485,2724,88903,53.58,47961,40942,1171,752,0.0,582,170,3424,296,0.18,226,70,3229,8329,5.02,5561,2768,2009,9144,5.51,7782,1362,5714,2027,1.22,1766,261,6766,4584,2.76,3901,683,5712,1862,1.12,1827,35,52200,7262,4.38,5505,1757,3133,50517.01,53.02,26897.88,51.54,25278.14,48.46,7978.26,5.4,9382.89,6.33,13443.61,4.6,488.33,1574.06,2150.3,8191.69,0.0,1045.05
801,Satyamangalam,Periyar,214229,100,52827,4.1,109580,104649,1047,26680,13579,13101,1036,43434,10.37,22212,21222,1047,9916,2.33,4982,4934,1010,76171,40.61,49699,26472,1877,103728,33.38,71519,32209,2220,5955,0.08,173,5782,30,104546,17.69,37888,66658,568,84446,81.15,56443,28003,2016,10016,9.92,7819,2197,3559,9266,8.93,7257,2009,3612,34202,25.78,27636,6566,4209,49132,47.37,27972,21160,1322,837,0.01,631,206,3063,275,0.27,204,71,2873,4192,4.04,3169,1023,3098,4250,4.1,3323,927,3585,1574,1.52,1327,247,5372,3284,3.17,2739,545,5026,1311,1.26,1207,104,11606,4671,4.5,3311,1360,2435,2016.91,65.71,11467.31,23.01,37753.92,76.99,8459.84,3.95,15967.19,7.17,7584.76,0.0,134.67,0.0,0.0,3729.47,0.0,0.0
807,Dharapuram,Periyar,216665,160,60043,3.6,109357,107308,1019,19749,10169,9580,1061,53288,12.5,27089,26199,1034,31,0.01,19,12,1583,96548,49.03,62914,33634,1871,127443,34.69,75153,52290,1437,6128,0.09,196,5932,33,83094,15.7,34008,49086,693,104470,81.87,58001,46469,1248,11572,9.18,8056,3516,2291,11401,8.95,9096,2305,3946,46223,15.89,30552,15671,1950,57442,45.07,26889,30553,880,678,0.01,469,209,2244,127,0.1,91,36,2528,2809,2.2,1870,939,1991,7430,5.83,5024,2406,2088,1333,1.05,1162,171,6795,3895,3.06,3359,536,6267,1602,1.26,1464,138,10609,5904,4.63,4273,1631,2620,780.95,0.58,29433.52,43.21,38978.76,56.79,44497.4,32.56,22127.63,16.34,15053.8,0.0,23.0,0.0,1793.48,12563.24,0.0,0.0
806,Kangayam,Periyar,157746,181,43423,3.6,80140,77606,1033,13946,7171,6775,1058,32669,10.55,16650,16019,1039,91,0.03,42,49,857,74184,51.59,47589,26595,1789,91279,35.78,56443,34836,1620,3960,0.09,136,3824,36,62507,14.94,23561,38946,605,58230,63.61,33203,25027,1327,22360,24.68,14485,7875,1839,10689,11.71,8755,1934,4527,26791,36.27,17557,9234,1901,30706,33.64,15192,15514,979,564,0.01,349,215,1623,169,0.19,105,64,1641,3624,3.97,2098,1526,1375,17331,18.99,11202,6129,1828,1405,1.54,1185,220,5386,3935,4.31,3513,422,8325,2249,2.46,2031,218,9317,4505,4.94,3211,1294,2481,426.33,0.48,21881.47,33.83,42801.58,66.17,15024.39,17.29,6787.67,7.81,9412.38,0.0,47.91,0.0,439.59,11981.59,0.0,0.0
