"CODE,N,5,0","NAME,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,7,0","T%_SC,N,7,2","M_SC,N,12,0","F_SC,N,12,0","SR_SC,N,12,0","T_ST,N,12,0","T%_ST,N,7,2","M_ST,N,12,0","F_ST,N,12,0","SR_ST,N,12,0","T_LITTERAT,N,12,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,12,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,12,0","F_WORKERS,N,12,0","SR_WORKERS,N,12,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,12,0","F_MARGINAL,N,12,0","SR_MARGINA,N,12,0","T_NONWORK,N,12,0","T%_NONWORK,N,14,2","M_NONWORK,N,12,0","F_NONWORK,N,12,0","SR_NONWORK,N,12,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,12,0","T_SECUND,N,12,0","T%_SECUND,N,12,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,12,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,12,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,12,0","T%_MINING,N,11,2","M_MINING,N,12,0","F_MINING,N,12,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,12,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,12,0","F_CONSTRUC,N,12,0","SR_CONSTRU,N,12,0","T_TRADE,N,12,0","T%_TRADE,N,11,2","M_TRADE,N,12,0","F_TRADE,N,12,0","SR_TRADE,N,12,0","T_TRANSPOR,N,12,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,12,0","F_TRANSPOR,N,12,0","SR_TRANSPO,N,12,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,12,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","LU_FOREST,N,11,2","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,2","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,2","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,2","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,2","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
701,Yercaud,Salem,32500,87,8359,3.9,16468,16032,1027,4841,2467,2374,1039,4769,7.29,2370,2399,988,22312,34.7,11278,11034,1022,10753,38.88,6777,3976,1704,17701,30.62,9950,7751,1284,168,0.02,5,163,31,14631,20.04,6513,8118,802,15126,84.35,8280,6846,1209,269,2.63,208,61,3410,2306,13.03,1462,844,1732,5285,31.76,3207,2078,1543,3777,21.34,1956,1821,1074,5868,0.33,2937,2931,1002,196,1.11,180,16,11250,38,0.21,18,20,900,112,0.63,101,11,9182,119,0.67,89,30,2967,310,1.75,264,46,5739,212,1.2,209,3,69667,1784,10.08,989,795,1244,0.0,57.53,15.0,0.1,14722.23,99.9,275.08,0.74,242.79,0.65,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,Salem,Salem,393564,451,96874,4.1,203798,189766,1074,51738,27914,23824,1172,72627,9.46,37217,35410,1051,15538,2.01,7923,7615,1040,163701,47.89,104814,58887,1780,184925,31.67,124627,60298,2067,12080,0.09,370,11710,32,196559,20.02,78801,117758,669,127639,68.39,77405,50234,1541,33373,18.68,27620,5753,4801,23913,12.93,19602,4311,4547,49252,40.15,36164,13088,2763,76542,41.39,39793,36749,1083,676,0.0,546,130,4200,1169,0.63,902,267,3378,9382,5.07,7078,2304,3072,19633,10.62,16832,2801,6009,4358,2.36,3710,648,5725,8037,4.35,6599,1438,4589,4545,2.46,4492,53,84755,11331,6.13,8511,2820,3018,3046.68,25.77,11039.05,25.91,31562.55,74.09,4874.35,5.59,17067.04,19.57,9608.72,262.96,183.64,0.0,939.12,44.61,0.0,0.0
702,Omalur,Salem,315946,476,73667,4.3,167358,148588,1126,43901,25221,18680,1350,58433,9.77,30859,27574,1119,4475,0.75,2369,2106,1125,113125,41.58,75352,37773,1995,141373,30.34,95855,45518,2106,7245,0.13,420,6825,62,167328,22.5,71083,96245,739,112684,76.4,73348,39336,1865,16694,15.11,12635,4059,3113,11995,8.48,9872,2123,4650,44902,34.63,34218,10684,3203,62804,44.42,35326,27478,1286,310,0.0,259,51,5078,4668,3.3,3545,1123,3157,8812,6.23,6061,2751,2203,6482,4.59,5266,1216,4331,1400,0.99,1308,92,14217,3254,2.3,2738,516,5306,2170,1.53,2138,32,66813,6571,4.65,4996,1575,3172,5020.89,21.79,14770.96,37.85,24251.31,62.15,4158.27,6.27,8720.98,13.14,11481.83,0.0,2669.45,0.0,203.6,195.18,0.0,221.0
703,Mettur,Salem,248362,338,60408,4.1,132626,115736,1146,31230,18122,13108,1383,31276,6.67,16555,14721,1125,7358,1.54,3813,3545,1076,97080,44.71,64282,32798,1960,113215,31.93,79300,33915,2338,15342,0.26,638,14704,43,119805,21.21,52688,67117,785,85057,74.69,55432,29625,1871,16421,14.94,14177,2244,6318,11737,10.37,9691,2046,4737,39208,33.56,29146,10062,2897,44658,39.45,25237,19421,1299,694,0.01,605,89,6798,497,0.44,444,53,8377,6845,6.05,5523,1322,4178,7784,6.88,6982,802,8706,1792,1.58,1672,120,13933,3130,2.76,2605,525,4962,1827,1.61,1806,21,86000,6780,5.99,5280,1500,3520,866.05,20.13,5626.63,15.73,30136.78,84.27,6023.06,8.2,16883.85,22.98,5626.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,Sankari,Salem,319216,425,84065,3.8,170709,148507,1150,35967,21659,14308,1514,44263,7.39,23592,20671,1141,1291,0.21,659,632,1043,114419,40.4,77743,36676,2120,156915,33.14,105775,51140,2068,16923,0.15,464,16459,28,145378,20.2,64470,80908,797,117750,74.81,73072,44678,1636,23596,15.27,19685,3911,5033,15569,9.92,13018,2551,5103,52663,26.63,38035,14628,2600,64267,40.96,34384,29883,1151,456,0.0,371,85,4365,364,0.23,282,82,3439,7703,4.91,5895,1808,3261,14275,9.1,12387,1888,6561,1618,1.03,1403,215,6526,4276,2.73,3692,584,6322,4372,2.79,4332,40,108300,6921,4.41,4994,1927,2592,1656.0,6.63,15977.64,29.7,37818.15,70.3,2319.43,3.09,14066.08,18.71,10645.64,552.0,221.0,0.0,39.0,4520.0,0.0,0.0
708,Tiruchengodu,Salem,253355,329,69477,3.6,129539,123816,1046,25859,13958,11901,1173,56442,11.43,28966,27476,1054,8,0.0,6,2,3000,107717,47.35,69988,37729,1855,137632,33.61,85159,52473,1623,7794,0.08,210,7584,28,107929,17.43,44170,63759,693,91880,66.56,50107,41773,1200,32341,23.69,24323,8018,3034,13411,9.74,10729,2682,4000,42807,31.52,27021,15786,1712,48211,35.03,22406,25805,868,592,0.0,468,124,3774,270,0.2,212,58,3655,3907,2.84,2273,1634,1391,25919,18.83,19908,6011,3312,2515,1.83,2142,373,5743,3921,2.85,3316,605,5481,2957,2.15,2910,47,61915,6533,4.75,4503,2030,2218,0.0,0.0,15620.0,25.13,46525.8,74.87,5804.0,7.54,8992.12,11.69,10538.0,0.0,853.0,0.0,617.0,3612.0,0.0,0.0
706,Attur,Salem,429867,262,108432,4.0,218489,211378,1034,55509,29131,26378,1104,97256,11.54,49586,47670,1040,37891,4.52,19412,18479,1050,181484,48.48,114050,67434,1691,222410,30.93,132976,89434,1487,13969,0.06,273,13696,20,193488,19.83,85240,108248,787,198100,88.98,113415,84685,1339,7336,3.39,6115,1221,5008,16974,7.63,13446,3528,3811,89296,32.33,61609,27687,2225,108013,48.56,51111,56902,898,596,0.0,518,78,6641,195,0.09,177,18,9833,1770,0.8,1125,645,1744,4594,2.07,4078,516,7903,972,0.44,912,60,15200,5084,2.29,4312,772,5585,2258,1.02,2238,20,111900,9632,4.33,6896,2736,2520,10545.08,26.19,25813.61,38.28,41617.94,61.72,15908.95,9.67,37798.24,23.04,25753.33,60.0,0.0,0.0,0.0,0.0,0.0,0.0
707,Rasipuram,Salem,214924,265,56710,3.8,110048,104876,1049,24721,13267,11454,1158,54471,13.16,28289,26182,1080,22852,5.45,11707,11145,1050,90937,47.81,57263,33674,1701,115168,32.42,69677,45491,1532,4326,0.05,112,4214,27,95430,18.73,40259,55171,730,89429,77.41,50504,38925,1297,15854,14.0,11240,4614,2436,9885,8.58,7933,1952,4064,37239,31.1,24209,13030,1858,51555,44.77,25778,25777,1000,363,0.0,286,77,3714,272,0.24,231,41,5634,9219,8.0,5848,3371,1735,5462,4.74,4416,1046,4222,1173,1.02,976,197,4954,2987,2.59,2544,443,5743,1724,1.5,1703,21,81095,5174,4.49,3686,1488,2477,3716.35,32.41,13865.32,43.32,19453.45,56.68,6201.24,7.55,14884.08,18.11,12395.27,0.0,1552.05,0.0,165.0,327.0,45.0,381.0
710,Paramathivelur,Salem,177767,340,47751,3.7,89883,87884,1023,17412,9138,8274,1104,30551,8.71,15479,15072,1027,11,0.0,8,3,2667,85314,53.2,53763,31551,1704,91813,32.38,57558,34255,1680,6839,0.11,194,6645,29,79115,18.07,32131,46984,684,72339,78.63,41915,30424,1378,7660,8.5,5807,1853,3134,11814,12.87,9836,1978,4973,27300,32.97,18890,8410,2246,40814,44.45,20071,20743,968,4080,0.04,2841,1239,2293,145,0.16,113,32,3531,1906,2.08,1271,635,2002,4590,5.0,3583,1007,3558,1164,1.27,953,211,4517,4347,4.73,3787,560,6763,2182,2.38,2164,18,120222,5285,5.76,3885,1400,2775,0.0,0.0,16086.49,37.38,26946.07,62.62,2820.97,5.39,6499.85,12.41,12820.61,0.0,0.0,0.0,3081.68,0.0,186.2,0.0
709,Namakkal,Salem,373662,290,98386,3.8,189884,183778,1033,41126,21630,19496,1109,86233,11.8,44080,42153,1046,23288,3.14,11715,11573,1012,179336,53.93,112487,66849,1683,191948,31.66,118298,73650,1606,11672,0.07,248,11424,22,170042,19.09,71338,98704,723,150647,78.24,83454,67193,1242,15123,8.13,12336,2787,4426,26178,13.64,22508,3670,6133,60497,29.73,40119,20378,1969,88087,45.89,41752,46335,901,1587,0.01,1162,425,2734,476,0.25,421,55,7655,3277,1.71,2228,1049,2124,9403,4.9,7907,1496,5285,2443,1.27,2201,242,9095,6835,3.56,6165,670,9201,8322,4.34,8289,33,251182,11021,5.74,8054,2967,2715,5445.03,15.51,23564.25,30.03,54908.12,69.97,12263.14,9.54,18038.33,14.0,21023.56,14.18,934.13,0.0,1592.79,0.0,0.0,0.0
