"CODE,N,11,0","NAME,C,26","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,5,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,1","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,1","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,1","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,1","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,1","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,1","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,1","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,1","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,1","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,1","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,1","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,1","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,1","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,1","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
511002,Vedasandur,Dindigul Anna,7541,34277,1706,4.4,3844,3697,1040,909,488,421,1159,1017,13.5,521,496,1050,5,0.1,2,3,667,4831,72.8,2816,2015,1398,2532,33.6,2115,417,5072,36,0.5,10,26,385,4973,65.9,1719,3254,528,882,34.8,692,190,3642,352,13.9,318,34,9353,1298,51.3,1105,193,5725,96,3.8,85,11,7727,746,29.5,576,170,3388,40,1.6,31,9,3444,0,0.0,0,0,0,84,3.3,63,21,3000,196,2.6,186,10,18600,72,2.8,69,3,23000,644,25.4,590,54,10926,100,3.9,97,3,32333,554,21.9,418,136,3074
511001,Kiranur,Dindigul Anna,6598,6887,1485,4.4,3092,3506,882,877,422,455,927,2319,35.1,1160,1159,1001,59,0.9,33,26,1269,3429,59.9,1913,1516,1262,2262,34.3,1601,661,2422,214,3.2,24,190,126,4122,62.5,1467,2655,553,1293,57.2,779,514,1516,161,7.1,119,42,2833,808,35.7,703,105,6695,265,11.7,200,65,3077,997,44.1,548,449,1220,31,1.4,31,0,0,0,0.0,0,0,0,60,2.7,36,24,1500,96,1.5,78,18,4333,5,0.2,5,0,0,489,21.6,467,22,21227,23,1.0,23,0,0,296,13.1,213,83,2566
511003,Nattam,Dindigul Anna,19105,15370,4118,4.6,9694,9411,1030,2447,1267,1180,1074,3405,17.8,1742,1663,1048,6,0.0,2,4,500,11281,67.7,6603,4678,1412,6992,36.6,5415,1577,3434,403,2.1,21,382,55,11710,61.3,4258,7452,571,4077,58.3,2892,1185,2441,512,7.3,434,78,5564,2409,34.5,2093,316,6623,1441,20.6,1353,88,15375,2565,36.7,1485,1080,1375,65,0.9,50,15,3333,6,0.1,4,2,2000,142,2.0,86,56,1536,276,1.4,260,16,16250,88,1.3,84,4,21000,1155,16.5,1091,64,17047,199,2.8,194,5,38800,1055,15.1,808,247,3271
511008,Dindigul,Dindigul Anna,182477,130248,38567,4.7,92807,89670,1035,21098,10852,10246,1059,11028,6.0,5686,5342,1064,380,0.2,201,179,1123,129459,80.2,72254,57205,1263,59297,32.5,49500,9797,5053,398,0.2,73,325,225,122782,67.3,43234,79548,543,1851,3.1,1566,285,5495,20305,34.2,16716,3589,4658,37163,62.7,31238,5925,5272,1007,1.7,928,79,11747,466,0.8,300,166,1807,356,0.6,318,38,8368,22,0.0,20,2,10000,4868,8.2,3117,1751,1780,13193,7.2,11775,1418,8304,2222,3.7,1804,418,4316,19360,32.6,17559,1801,9750,4734,8.0,4590,144,31875,13069,22.0,9089,3980,2284
511004,Chinnalapatti,Dindigul Anna,22866,146577,5233,4.4,11300,11566,977,2413,1245,1168,1066,1261,5.5,608,653,931,5,0.0,2,3,667,15231,74.5,8620,6611,1304,8898,38.9,6505,2393,2718,275,1.2,40,235,170,13693,59.9,4755,8938,532,1065,12.0,641,424,1512,3997,44.9,2661,1336,1992,3843,43.2,3206,637,5033,392,4.4,253,139,1820,332,3.7,165,167,988,334,3.8,220,114,1930,7,0.1,3,4,750,1565,17.6,820,745,1101,2025,8.9,1543,482,3201,400,4.5,295,105,2810,2045,23.0,1902,143,13301,217,2.4,204,13,15692,1581,17.8,1100,481,2287
511007,Nilakkottai,Dindigul Anna,14770,14312,3092,4.8,7600,7170,1060,1968,1016,952,1067,2702,18.3,1403,1299,1080,642,4.3,342,300,1140,9580,74.8,5427,4153,1307,4738,32.1,3724,1014,3673,331,2.2,8,323,25,9701,65.7,3868,5833,663,1717,36.2,1066,651,1637,998,21.1,925,73,12671,2054,43.4,1750,304,5757,520,11.0,354,166,2133,1148,24.2,677,471,1437,18,0.4,18,0,0,31,0.7,17,14,1214,387,8.2,349,38,9184,503,3.4,482,21,22952,77,1.6,77,0,0,971,20.5,939,32,29344,156,3.3,155,1,155000,927,19.6,656,271,2421
511006,Vattalkundu,Dindigul Anna,20032,15469,4433,4.5,10128,9904,1023,2448,1225,1223,1002,1253,6.3,606,647,937,5,0.0,1,4,250,13267,75.4,7523,5744,1310,6381,31.9,5352,1029,5201,42,0.2,20,22,909,13609,67.9,4756,8853,537,2355,36.9,1787,568,3146,625,9.8,565,60,9417,3402,53.3,3001,401,7484,638,10.0,532,106,5019,1679,26.3,1217,462,2634,37,0.6,37,0,0,1,0.0,1,0,0,53,0.8,30,23,1304,398,2.0,369,29,12724,173,2.7,165,8,20625,1523,23.9,1444,79,18278,508,8.0,502,6,83667,1371,21.5,1055,316,3339
511005,Kodaikanal,Dindigul Anna,27423,12562,5635,4.9,14507,12916,1123,3465,1774,1691,1049,4357,15.9,2216,2141,1035,27,0.1,15,12,1250,19489,81.3,11216,8273,1356,9150,33.4,7360,1790,4112,61,0.2,17,44,386,18212,66.4,7130,11082,643,1754,19.2,1421,333,4267,1857,20.3,1544,313,4933,5539,60.5,4395,1144,3842,110,1.2,96,14,6857,416,4.5,357,59,6051,1228,13.4,968,260,3723,0,0.0,0,0,0,17,0.2,6,11,545,757,2.8,680,77,8831,1083,11.8,858,225,3813,1927,21.1,1705,222,7680,761,8.3,745,16,46563,2851,31.2,1945,906,2147
511100,Palani U.A.,Dindigul Anna,76209,28650,17086,4.5,38689,37520,1031,8721,4500,4221,1066,10282,13.5,5153,5129,1005,343,0.5,183,160,1144,50452,74.8,28527,21925,1301,25025,32.8,20800,4225,4923,470,0.6,35,435,80,50714,66.5,17854,32860,543,5656,22.6,3953,1703,2321,3222,12.9,2785,437,6373,16164,64.6,14079,2085,6753,1033,4.1,898,135,6652,4401,17.6,2856,1545,1849,205,0.8,182,23,7913,17,0.1,17,0,0,424,1.7,290,134,2164,1965,2.6,1791,174,10293,816,3.3,687,129,5326,7167,28.6,6735,432,15590,1557,6.2,1528,29,52690,7440,29.7,5816,1624,3581
