"CODE,N,11,0","NAME,C,26","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,5,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,1","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,1","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,1","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,1","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,1","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,1","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,1","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,1","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,1","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,1","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,1","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,1","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,1","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,1","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
512003,Ariyalur,Tiruchirappalli,24141,31681,5237,4.6,12195,11946,1021,3062,1556,1506,1033,1726,7.1,856,870,984,19,0.1,12,7,1714,15778,74.9,8883,6895,1288,8088,33.5,6654,1434,4640,1241,5.1,155,1086,143,14812,61.4,5386,9426,571,3128,38.7,2296,832,2760,1014,12.5,910,104,8750,3948,48.8,3450,498,6928,1677,20.7,1302,375,3472,1437,17.8,981,456,2151,12,0.1,11,1,11000,2,0.0,2,0,0,95,1.2,56,39,1436,652,2.7,615,37,16622,265,3.3,237,28,8464,1704,21.1,1620,84,19286,546,6.8,540,6,90000,1698,21.0,1290,408,3162
512002,Perambalur,Tiruchirappalli,26451,10810,5700,4.6,13470,12981,1038,3385,1769,1616,1095,7757,29.3,3939,3818,1032,27,0.1,14,13,1077,18858,81.8,10181,8677,1173,8694,32.9,6789,1905,3564,401,1.5,5,396,13,17356,65.6,6676,10680,625,3953,45.5,2635,1318,1999,942,10.8,888,54,16444,3803,43.7,3270,533,6135,2006,23.1,1471,535,2750,1913,22.0,1131,782,1446,30,0.3,29,1,29000,4,0.0,4,0,0,97,1.1,66,31,2129,591,2.2,577,14,41214,250,2.9,241,9,26778,1458,16.8,1393,65,21431,528,6.1,526,2,263000,1817,20.9,1351,466,2899
512001,Turaiyur,Tiruchirappalli,27640,18997,6197,4.5,14178,13462,1053,2978,1581,1397,1132,3942,14.3,2020,1922,1051,196,0.7,97,99,980,18880,76.6,10849,8031,1351,8728,31.6,7417,1311,5658,219,0.8,19,200,95,18693,67.6,6742,11951,564,1848,21.2,1327,521,2547,1942,22.3,1662,280,5936,4939,56.6,4428,511,8665,412,4.7,381,31,12290,1408,16.1,927,481,1927,27,0.3,19,8,2375,1,0.0,0,1,0,594,6.8,407,187,2176,902,3.3,849,53,16019,445,5.1,406,39,10410,2510,28.8,2360,150,15733,773,8.9,767,6,127833,1656,19.0,1301,355,3665
512006,Lalgudi,Tiruchirappalli,19917,22229,4402,4.5,10107,9810,1030,2569,1326,1243,1067,2518,12.6,1245,1273,978,14,0.1,9,5,1800,13312,76.7,7465,5847,1277,6447,32.4,5062,1385,3655,116,0.6,12,104,115,13354,67.0,5033,8321,605,2687,41.7,1816,871,2085,913,14.2,860,53,16226,2848,44.2,2387,461,5178,874,13.6,688,186,3699,1799,27.9,1114,685,1626,13,0.2,13,0,0,1,0.0,1,0,0,105,1.6,79,26,3038,620,3.1,609,11,55364,187,2.9,171,16,10688,1227,19.0,1132,95,11916,398,6.2,384,14,27429,1223,19.0,871,352,2474
512005,Puvalur,Tiruchirappalli,8109,12592,1794,4.5,4028,4081,987,1073,533,540,987,1233,15.2,598,635,942,28,0.3,16,12,1333,5229,74.3,2967,2262,1312,2523,31.1,2079,444,4682,360,4.4,23,337,68,5226,64.4,1926,3300,584,1495,59.3,1166,329,3544,405,16.1,367,38,9658,623,24.7,546,77,7091,661,26.2,614,47,13064,834,33.1,552,282,1957,0,0.0,0,0,0,0,0.0,0,0,0,194,7.7,163,31,5258,188,2.3,182,6,30333,23,0.9,22,1,22000,233,9.2,217,16,13563,111,4.4,110,1,110000,279,11.1,219,60,3650
512007,Manachanellur,Tiruchirappalli,18611,21616,4228,4.4,9385,9226,1017,2217,1137,1080,1053,2926,15.7,1435,1491,962,25,0.1,14,11,1273,12195,74.4,6977,5218,1337,6771,36.4,5185,1586,3269,271,1.5,27,244,111,11569,62.2,4173,7396,564,2404,35.5,1508,896,1683,1375,20.3,1117,258,4329,2995,44.2,2562,433,5917,575,8.5,497,78,6372,1815,26.8,998,817,1222,11,0.2,11,0,0,3,0.0,2,1,2000,182,2.7,131,51,2569,1069,5.7,884,185,4778,121,1.8,100,21,4762,1226,18.1,1146,80,14325,516,7.6,512,4,128000,1253,18.5,904,349,2590
512004,Kallakkudi,Tiruchirappalli,10285,9350,2291,4.5,5248,5037,1042,1289,635,654,971,764,7.4,387,377,1027,0,0.0,0,0,0,6734,74.9,3889,2845,1367,2928,28.5,2518,410,6141,173,1.7,0,173,0,7184,69.8,2730,4454,613,1068,36.5,796,272,2926,1221,41.7,1175,46,25543,639,21.8,547,92,5946,349,11.9,310,39,7949,713,24.4,482,231,2087,6,0.2,4,2,2000,0,0.0,0,0,0,8,0.3,8,0,0,1171,11.4,1125,46,24457,42,1.4,42,0,0,246,8.4,238,8,29750,105,3.6,104,1,104000,288,9.8,205,83,2470
512010,Kattuputtur,Tiruchirappalli,11114,10215,2754,4.0,5584,5530,1010,1183,612,571,1072,2864,25.8,1457,1407,1036,0,0.0,0,0,0,6711,67.6,3966,2745,1445,4855,43.7,3169,1686,1880,39,0.4,9,30,300,6220,56.0,2406,3814,631,3703,76.3,2132,1571,1357,209,4.3,191,18,10611,943,19.4,846,97,8722,705,14.5,570,135,4222,2991,61.6,1555,1436,1083,7,0.1,7,0,0,0,0.0,0,0,0,24,0.5,19,5,3800,144,1.3,133,11,12091,41,0.8,39,2,19500,396,8.2,367,29,12655,179,3.7,179,0,0,368,7.6,300,68,4412
512011,Musiri,Tiruchirappalli,22103,11757,5032,4.4,11068,11035,1003,2540,1334,1206,1106,2400,10.9,1153,1247,925,35,0.2,24,11,2182,14444,73.8,8029,6415,1252,7731,35.0,5825,1906,3056,57,0.3,3,54,56,14315,64.8,5240,9075,577,2987,38.6,1793,1194,1502,1592,20.6,1251,341,3669,3153,40.8,2782,371,7499,1141,14.8,890,251,3546,1807,23.4,873,934,935,38,0.5,29,9,3222,1,0.0,1,0,0,465,6.0,339,126,2690,916,4.1,721,195,3697,210,2.7,190,20,9500,1251,16.2,1186,65,18246,462,6.0,453,9,50333,1440,18.6,1143,297,3848
512008,Mettupalaiyam,Tiruchirappalli,7895,9616,1982,4.0,3878,4017,965,848,443,405,1094,1074,13.6,518,556,932,3,0.0,1,2,500,5063,71.8,2909,2154,1351,3262,41.3,2281,981,2325,12,0.2,0,12,0,4621,58.5,1597,3024,528,1646,50.5,890,756,1177,763,23.4,628,135,4652,861,26.4,764,97,7876,547,16.8,344,203,1695,1083,33.2,540,543,994,8,0.2,5,3,1667,8,0.2,1,7,143,328,10.1,239,89,2685,376,4.8,347,29,11966,51,1.6,41,10,4100,443,13.6,431,12,35917,74,2.3,74,0,0,344,10.5,259,85,3047
