STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,9,0,0,0,TALUK,Avudayarkoil,Rural,17324,80199,39450,40749,10086,5158,4928,15002,7370,7632,49,21,28,50715,28777,21938,29484,10673,18811,39451,23082,16369,29222,19547,9675,17544,11606,5938,5393,2704,2689,276,113,163,6009,5124,885,10229,3535,6694,4193,1647,2546,5230,1385,3845,201,52,149,605,451,154,40748,16368,24380
33,22,9,1303800,0,0,VILLAGE,Kidangivayal  ,Rural,453,2175,1070,1105,267,137,130,348,164,184,0,0,0,1277,762,515,898,308,590,1086,703,383,776,624,152,733,595,138,13,5,8,2,2,0,28,22,6,310,79,231,10,6,4,295,70,225,0,0,0,5,3,2,1089,367,722
33,22,9,1303900,0,0,VILLAGE,Puduvakkadu,Rural,217,1111,576,535,159,84,75,55,27,28,0,0,0,656,402,254,455,174,281,725,404,321,608,383,225,353,253,100,209,95,114,3,3,0,43,32,11,117,21,96,8,4,4,107,15,92,0,0,0,2,2,0,386,172,214
33,22,9,1304000,0,0,VILLAGE,Vettinivayal,Rural,138,829,418,411,110,49,61,0,0,0,0,0,0,578,337,241,251,81,170,527,273,254,526,273,253,5,4,1,371,217,154,100,2,98,50,50,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,302,145,157
33,22,9,1304200,0,0,VILLAGE,Muduvalaikudi,Rural,40,191,86,105,18,12,6,25,9,16,0,0,0,107,52,55,84,34,50,119,63,56,62,59,3,59,57,2,2,1,1,0,0,0,1,1,0,57,4,53,0,0,0,57,4,53,0,0,0,0,0,0,72,23,49
33,22,9,1304400,0,0,VILLAGE,Esamangalam  ,Rural,285,1291,618,673,164,91,73,185,86,99,0,0,0,715,391,324,576,227,349,874,414,460,801,393,408,340,190,150,429,184,245,3,2,1,29,17,12,73,21,52,24,7,17,26,0,26,0,0,0,23,14,9,417,204,213
33,22,9,1304500,0,0,VILLAGE,Palavarasan,Rural,25,97,51,46,4,2,2,0,0,0,0,0,0,71,46,25,26,5,21,66,37,29,66,37,29,58,33,25,7,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,17
33,22,9,1304600,0,0,VILLAGE,Kandaiyankottai,Rural,18,74,38,36,9,6,3,0,0,0,0,0,0,52,29,23,22,9,13,55,29,26,55,29,26,39,23,16,15,5,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,10
33,22,9,1304700,0,0,VILLAGE,Kasavayal,Rural,103,387,186,201,52,23,29,39,17,22,0,0,0,228,132,96,159,54,105,236,120,116,236,120,116,95,45,50,119,54,65,0,0,0,22,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,66,85
33,22,9,1304800,0,0,VILLAGE,Velivayal,Rural,55,240,121,119,28,13,15,11,3,8,0,0,0,158,97,61,82,24,58,161,79,82,117,78,39,53,47,6,61,28,33,0,0,0,3,3,0,44,1,43,30,1,29,13,0,13,1,0,1,0,0,0,79,42,37
