STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,4,0,0,0,TALUK,Pudukkottai,Rural,13769,68198,33993,34205,9007,4618,4389,15948,7879,8069,7,4,3,38049,22699,15350,30149,11294,18855,35258,20171,15087,26515,17265,9250,13927,9147,4780,6399,3316,3083,350,192,158,5839,4610,1229,8743,2906,5837,1007,380,627,6763,1932,4831,160,36,124,813,558,255,32940,13822,19118
33,22,4,1257500,0,0,VILLAGE,Agavayal,Rural,7,35,15,20,6,3,3,0,0,0,0,0,0,24,11,13,11,4,7,14,10,4,11,9,2,4,4,0,0,0,0,0,0,0,7,5,2,3,1,2,0,0,0,2,1,1,0,0,0,1,0,1,21,5,16
33,22,4,1257600,0,0,VILLAGE,Sembattur,Rural,534,2508,1226,1282,266,133,133,600,297,303,0,0,0,1530,899,631,978,327,651,1436,793,643,503,446,57,313,290,23,49,40,9,3,1,2,138,115,23,933,347,586,5,3,2,893,319,574,6,4,2,29,21,8,1072,433,639
33,22,4,1257700,0,0,VILLAGE,Puthambur,Rural,543,3040,1517,1523,382,203,179,1073,527,546,0,0,0,1931,1116,815,1109,401,708,1209,745,464,920,703,217,251,215,36,314,190,124,18,11,7,337,287,50,289,42,247,14,3,11,247,25,222,11,1,10,17,13,4,1831,772,1059
33,22,4,1257800,0,0,VILLAGE,Sanivayal,Rural,9,49,24,25,8,3,5,0,0,0,0,0,0,27,18,9,22,6,16,22,13,9,11,11,0,6,6,0,0,0,0,0,0,0,5,5,0,11,2,9,0,0,0,11,2,9,0,0,0,0,0,0,27,11,16
33,22,4,1257900,0,0,VILLAGE,Kunichipatti,Rural,62,341,163,178,44,23,21,341,163,178,0,0,0,174,98,76,167,65,102,153,87,66,50,47,3,25,25,0,0,0,0,0,0,0,25,22,3,103,40,63,1,1,0,97,34,63,0,0,0,5,5,0,188,76,112
33,22,4,1258000,0,0,VILLAGE,Kedayapatti,Rural,81,400,196,204,48,24,24,177,98,79,0,0,0,238,141,97,162,55,107,221,119,102,139,96,43,97,67,30,14,4,10,0,0,0,28,25,3,82,23,59,28,11,17,53,11,42,0,0,0,1,1,0,179,77,102
33,22,4,1258100,0,0,VILLAGE,Tattampatti,Rural,47,252,125,127,36,20,16,0,0,0,0,0,0,124,71,53,128,54,74,136,71,65,82,64,18,58,51,7,12,1,11,0,0,0,12,12,0,54,7,47,16,1,15,38,6,32,0,0,0,0,0,0,116,54,62
33,22,4,1258200,0,0,VILLAGE,Tennathirayanpatti,Rural,106,501,244,257,63,32,31,83,41,42,0,0,0,308,190,118,193,54,139,323,156,167,323,156,167,257,115,142,25,11,14,7,3,4,34,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,88,90
33,22,4,1258300,0,0,VILLAGE,Vagavasal,Rural,571,3133,1590,1543,363,204,159,588,284,304,1,1,0,1825,1065,760,1308,525,783,1556,847,709,1136,815,321,419,311,108,127,28,99,14,2,12,576,474,102,420,32,388,104,8,96,202,10,192,68,1,67,46,13,33,1577,743,834
33,22,4,1258500,0,0,VILLAGE,Ayyavayal,Rural,6,35,21,14,2,1,1,0,0,0,0,0,0,27,19,8,8,2,6,19,12,7,11,10,1,1,1,0,0,0,0,0,0,0,10,9,1,8,2,6,1,1,0,7,1,6,0,0,0,0,0,0,16,9,7
33,22,4,1258600,0,0,VILLAGE,Mullur,Rural,1026,4945,2454,2491,620,307,313,1120,555,565,0,0,0,2715,1605,1110,2230,849,1381,2517,1493,1024,1685,1092,593,725,388,337,245,88,157,18,9,9,697,607,90,832,401,431,46,14,32,542,196,346,2,2,0,242,189,53,2428,961,1467
33,22,4,1258700,0,0,VILLAGE,Mangalathupatti,Rural,274,1378,693,685,179,92,87,217,105,112,0,0,0,653,367,286,725,326,399,679,453,226,539,414,125,395,301,94,80,62,18,1,0,1,63,51,12,140,39,101,7,1,6,113,33,80,1,0,1,19,5,14,699,240,459
33,22,4,1258800,0,0,VILLAGE,Perungalur,Rural,1177,5814,2882,2932,725,356,369,1156,581,575,0,0,0,3261,1918,1343,2553,964,1589,3285,1898,1387,2473,1676,797,1362,985,377,708,374,334,42,29,13,361,288,73,812,222,590,47,14,33,737,193,544,6,4,2,22,11,11,2529,984,1545
33,22,4,1258900,0,0,VILLAGE,Adanakottai ,Rural,833,4031,1991,2040,519,263,256,610,301,309,0,0,0,2063,1255,808,1968,736,1232,2354,1284,1070,2037,1184,853,914,557,357,640,313,327,14,8,6,469,306,163,317,100,217,98,42,56,168,40,128,14,1,13,37,17,20,1677,707,970
33,22,4,1259000,0,0,VILLAGE,Sokkanathapatti,Rural,199,930,470,460,114,62,52,224,119,105,0,0,0,618,375,243,312,95,217,593,299,294,359,223,136,284,168,116,15,4,11,4,3,1,56,48,8,234,76,158,43,15,28,190,61,129,0,0,0,1,0,1,337,171,166
33,22,4,1259100,0,0,VILLAGE,Kallukaranpatti,Rural,282,1448,725,723,201,106,95,404,188,216,0,0,0,775,496,279,673,229,444,895,436,459,891,435,456,824,404,420,26,10,16,0,0,0,41,21,20,4,1,3,1,1,0,0,0,0,0,0,0,3,0,3,553,289,264
33,22,4,1259200,0,0,VILLAGE,Ganapathipuram,Rural,292,1488,725,763,216,115,101,560,278,282,0,0,0,822,495,327,666,230,436,767,435,332,397,297,100,281,202,79,51,39,12,5,5,0,60,51,9,370,138,232,30,15,15,320,107,213,0,0,0,20,16,4,721,290,431
33,22,4,1259300,0,0,VILLAGE,Thondaman Urani,Rural,315,1651,821,830,265,147,118,201,97,104,0,0,0,832,490,342,819,331,488,675,422,253,555,353,202,412,243,169,124,96,28,1,1,0,18,13,5,120,69,51,33,16,17,67,37,30,0,0,0,20,16,4,976,399,577
33,22,4,1259400,0,0,VILLAGE,Vannarapatti,Rural,290,1306,674,632,182,86,96,349,177,172,0,0,0,768,517,251,538,157,381,842,449,393,628,381,247,462,289,173,112,47,65,4,4,0,50,41,9,214,68,146,49,25,24,164,42,122,0,0,0,1,1,0,464,225,239
33,22,4,1259500,0,0,VILLAGE,Kuppayampatti,Rural,216,1048,515,533,134,68,66,262,123,139,0,0,0,591,368,223,457,147,310,646,344,302,472,314,158,247,195,52,183,88,95,1,1,0,41,30,11,174,30,144,4,0,4,168,30,138,0,0,0,2,0,2,402,171,231
33,22,4,1259700,0,0,VILLAGE,Nemmelipatti,Rural,164,896,428,468,110,53,57,265,135,130,0,0,0,492,283,209,404,145,259,509,258,251,254,215,39,202,194,8,31,8,23,0,0,0,21,13,8,255,43,212,0,0,0,255,43,212,0,0,0,0,0,0,387,170,217
33,22,4,1259900,0,0,VILLAGE,Pulavankadu,Rural,374,1952,986,966,254,124,130,188,99,89,0,0,0,986,615,371,966,371,595,1108,599,509,708,481,227,446,294,152,174,122,52,52,35,17,36,30,6,400,118,282,78,27,51,310,84,226,3,2,1,9,5,4,844,387,457
33,22,4,1260000,0,0,VILLAGE,Varappur,Rural,519,2448,1193,1255,340,173,167,250,119,131,0,0,0,1163,699,464,1285,494,791,1366,700,666,643,461,182,361,264,97,137,84,53,17,14,3,128,99,29,723,239,484,72,17,55,625,209,416,2,2,0,24,11,13,1082,493,589
33,22,4,1260100,0,0,VILLAGE,Manaviduthy,Rural,414,2128,1066,1062,279,145,134,619,298,321,0,0,0,1067,646,421,1061,420,641,1007,613,394,994,606,388,704,441,263,219,118,101,16,11,5,55,36,19,13,7,6,5,3,2,7,3,4,0,0,0,1,1,0,1121,453,668
33,22,4,1260200,0,0,VILLAGE,Semmatividuthy,Rural,773,3827,1943,1884,521,280,241,903,459,444,0,0,0,2352,1392,960,1475,551,924,1745,1083,662,1481,1020,461,794,584,210,315,185,130,42,11,31,330,240,90,264,63,201,58,18,40,171,15,156,0,0,0,35,30,5,2082,860,1222
33,22,4,1260300,0,0,VILLAGE,Mukkanpatti,Rural,278,1292,625,667,205,91,114,172,74,98,0,0,0,684,421,263,608,204,404,612,391,221,430,291,139,242,165,77,116,65,51,1,1,0,71,60,11,182,100,82,11,8,3,142,70,72,9,4,5,20,18,2,680,234,446
33,22,4,1260400,0,0,VILLAGE,Kulavaipatti,Rural,535,2845,1417,1428,350,173,177,725,358,367,0,0,0,1715,1018,697,1130,399,731,1594,862,732,1302,846,456,706,466,240,345,162,183,5,2,3,246,216,30,292,16,276,6,2,4,279,12,267,1,0,1,6,2,4,1251,555,696
33,22,4,1260500,0,0,VILLAGE,Perungondanividuthy,Rural,489,2520,1223,1297,327,159,168,381,184,197,0,0,0,1493,857,636,1027,366,661,1467,754,713,1464,754,710,1020,521,499,278,122,156,2,1,1,164,110,54,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,1053,469,584
33,22,4,1260600,0,0,VILLAGE,Ichiadi I Bit,Rural,42,214,103,111,24,10,14,51,21,30,0,0,0,135,73,62,79,30,49,124,70,54,116,64,52,55,45,10,49,10,39,0,0,0,12,9,3,8,6,2,0,0,0,5,3,2,0,0,0,3,3,0,90,33,57
33,22,4,1260700,0,0,VILLAGE,Ichiadi II Bit,Rural,27,155,81,74,22,12,10,4,1,3,0,0,0,91,56,35,64,25,39,84,52,32,81,51,30,8,7,1,37,20,17,4,2,2,32,22,10,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,71,29,42
33,22,4,1260800,0,0,VILLAGE,Vadavalam,Rural,1422,6971,3497,3474,1023,525,498,693,347,346,6,3,3,3642,2199,1443,3329,1298,2031,3446,2062,1384,3067,1916,1151,1436,945,491,1074,562,512,29,19,10,528,390,138,379,146,233,41,15,26,282,94,188,18,9,9,38,28,10,3525,1435,2090
33,22,4,1261000,0,0,VILLAGE,Sellukudi,Rural,12,58,28,30,10,5,5,0,0,0,0,0,0,39,20,19,19,8,11,34,16,18,34,16,18,27,13,14,3,1,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,12
