STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,3,0,0,0,TALUK,Gandarvakkottai,Rural,16819,79925,39984,39941,10941,5631,5310,21734,10810,10924,25,14,11,43937,26301,17636,35988,13683,22305,41171,23553,17618,30804,19892,10912,14338,10015,4323,10880,5600,5280,491,296,195,5095,3981,1114,10367,3661,6706,1226,368,858,8496,2896,5600,99,39,60,546,358,188,38754,16431,22323
33,22,3,1253800,0,0,VILLAGE,Malaiyapatti,Rural,89,428,228,200,48,29,19,116,67,49,0,0,0,245,157,88,183,71,112,233,132,101,177,107,70,151,89,62,10,6,4,2,1,1,14,11,3,56,25,31,5,1,4,48,23,25,0,0,0,3,1,2,195,96,99
33,22,3,1253900,0,0,VILLAGE,Nodiyur ,Rural,586,2807,1392,1415,402,199,203,780,396,384,0,0,0,1088,679,409,1719,713,1006,1474,880,594,751,504,247,518,381,137,163,72,91,21,14,7,49,37,12,723,376,347,218,128,90,477,227,250,17,10,7,11,11,0,1333,512,821
33,22,3,1254000,0,0,VILLAGE,Viralippatti,Rural,398,1810,939,871,256,122,134,686,362,324,0,0,0,914,562,352,896,377,519,614,554,60,378,350,28,328,309,19,7,5,2,6,6,0,37,30,7,236,204,32,9,9,0,217,188,29,2,2,0,8,5,3,1196,385,811
33,22,3,1254100,0,0,VILLAGE,Tachankurichi,Rural,473,1998,950,1048,261,123,138,734,335,399,0,0,0,1122,634,488,876,316,560,1042,600,442,944,559,385,333,222,111,474,245,229,2,2,0,135,90,45,98,41,57,29,8,21,52,17,35,8,8,0,9,8,1,956,350,606
33,22,3,1254200,0,0,VILLAGE,Kurumpundi,Rural,290,1363,690,673,182,102,80,486,252,234,0,0,0,817,484,333,546,206,340,805,451,354,559,378,181,295,255,40,179,53,126,3,1,2,82,69,13,246,73,173,2,1,1,240,69,171,2,2,0,2,1,1,558,239,319
33,22,3,1254300,0,0,VILLAGE,Manjapettai,Rural,332,1673,856,817,268,144,124,483,242,241,0,0,0,942,558,384,731,298,433,908,485,423,260,212,48,186,163,23,18,9,9,9,6,3,47,34,13,648,273,375,27,8,19,609,259,350,1,1,0,11,5,6,765,371,394
33,22,3,1254400,0,0,VILLAGE,Komapuram,Rural,405,2043,1064,979,263,135,128,541,278,263,0,0,0,1100,717,383,943,347,596,948,564,384,684,547,137,413,381,32,150,93,57,13,6,7,108,67,41,264,17,247,15,5,10,224,8,216,0,0,0,25,4,21,1095,500,595
33,22,3,1254500,0,0,VILLAGE,Manganoor,Rural,326,1565,784,781,198,115,83,338,181,157,0,0,0,698,416,282,867,368,499,936,479,457,514,325,189,307,215,92,150,71,79,3,3,0,54,36,18,422,154,268,21,4,17,400,150,250,0,0,0,1,0,1,629,305,324
33,22,3,1254600,0,0,VILLAGE,Vadugappatti,Rural,236,1075,521,554,133,65,68,394,181,213,0,0,0,576,336,240,499,185,314,490,302,188,311,276,35,196,189,7,12,12,0,2,1,1,101,74,27,179,26,153,1,0,1,177,25,152,0,0,0,1,1,0,585,219,366
33,22,3,1254700,0,0,VILLAGE,Meyakadipatti,Rural,188,871,441,430,148,71,77,169,87,82,0,0,0,427,270,157,444,171,273,526,280,246,352,233,119,280,196,84,27,8,19,9,5,4,36,24,12,174,47,127,34,12,22,126,30,96,4,0,4,10,5,5,345,161,184
33,22,3,1254800,0,0,VILLAGE,Ariyanipatti,Rural,335,1563,796,767,202,108,94,220,111,109,0,0,0,879,544,335,684,252,432,891,495,396,840,478,362,471,269,202,294,157,137,6,3,3,69,49,20,51,17,34,6,2,4,43,14,29,1,0,1,1,1,0,672,301,371
33,22,3,1254900,0,0,VILLAGE,Ponakulam,Rural,422,2032,1045,987,267,135,132,550,271,279,0,0,0,1238,748,490,794,297,497,1074,623,451,862,513,349,541,313,228,126,62,64,18,13,5,177,125,52,212,110,102,6,2,4,154,71,83,5,2,3,47,35,12,958,422,536
33,22,3,1255000,0,0,VILLAGE,Pudunagar ,Rural,413,1857,952,905,204,92,112,645,331,314,0,0,0,1143,740,403,714,212,502,973,570,403,883,547,336,435,312,123,352,160,192,18,14,4,78,61,17,90,23,67,43,10,33,41,7,34,0,0,0,6,6,0,884,382,502
33,22,3,1255100,0,0,VILLAGE,Palayagandarvakottai,Rural,252,1210,608,602,160,83,77,269,140,129,0,0,0,715,421,294,495,187,308,553,328,225,502,311,191,166,121,45,240,142,98,8,4,4,88,44,44,51,17,34,27,9,18,14,2,12,0,0,0,10,6,4,657,280,377
33,22,3,1255200,0,0,VILLAGE,Aravampatti,Rural,229,1038,529,509,130,65,65,219,117,102,0,0,0,545,330,215,493,199,294,632,347,285,620,346,274,183,132,51,335,157,178,30,18,12,72,39,33,12,1,11,2,1,1,7,0,7,1,0,1,2,0,2,406,182,224
33,22,3,1255300,0,0,VILLAGE,Kovilur,Rural,1810,8392,4214,4178,1063,550,513,1962,978,984,25,14,11,5863,3243,2620,2529,971,1558,2937,2209,728,2520,2011,509,262,228,34,600,398,202,62,43,19,1596,1342,254,417,198,219,39,14,25,184,64,120,17,2,15,177,118,59,5455,2005,3450
33,22,3,1255400,0,0,VILLAGE,Pisannathur,Rural,194,844,402,442,122,56,66,353,165,188,0,0,0,506,287,219,338,115,223,330,240,90,320,237,83,42,38,4,79,49,30,1,1,0,198,149,49,10,3,7,0,0,0,10,3,7,0,0,0,0,0,0,514,162,352
33,22,3,1255500,0,0,VILLAGE,Veeradipatti ,Rural,612,3115,1588,1527,470,260,210,737,351,386,0,0,0,1761,1065,696,1354,523,831,1349,909,440,957,774,183,540,500,40,335,205,130,3,3,0,79,66,13,392,135,257,45,20,25,339,107,232,2,2,0,6,6,0,1766,679,1087
33,22,3,1255600,0,0,VILLAGE,Mudukulam,Rural,393,1931,986,945,225,125,100,526,266,260,0,0,0,1116,685,431,815,301,514,1080,597,483,1065,589,476,495,279,216,519,280,239,12,0,12,39,30,9,15,8,7,1,1,0,14,7,7,0,0,0,0,0,0,851,389,462
33,22,3,1255700,0,0,VILLAGE,Seviyarkudikadu,Rural,146,763,370,393,102,53,49,409,191,218,0,0,0,472,260,212,291,110,181,435,222,213,418,215,203,351,171,180,13,6,7,6,2,4,48,36,12,17,7,10,5,2,3,10,3,7,1,1,0,1,1,0,328,148,180
33,22,3,1255800,0,0,VILLAGE,Kulathur,Rural,630,2925,1432,1493,404,214,190,726,371,355,0,0,0,1650,971,679,1275,461,814,1671,862,809,525,458,67,247,232,15,179,152,27,1,1,0,98,73,25,1146,404,742,48,5,43,1081,395,686,8,1,7,9,3,6,1254,570,684
33,22,3,1255900,0,0,VILLAGE,Nadupatti,Rural,412,1889,917,972,249,126,123,614,301,313,0,0,0,981,587,394,908,330,578,1031,537,494,392,347,45,245,222,23,40,33,7,31,31,0,76,61,15,639,190,449,17,2,15,604,176,428,6,3,3,12,9,3,858,380,478
33,22,3,1256000,0,0,VILLAGE,Namburampatti,Rural,255,1378,693,685,198,106,92,672,341,331,0,0,0,655,421,234,723,272,451,737,409,328,540,355,185,342,236,106,177,102,75,0,0,0,21,17,4,197,54,143,72,7,65,122,44,78,0,0,0,3,3,0,641,284,357
33,22,3,1256100,0,0,VILLAGE,Periakottai,Rural,530,2800,1384,1416,399,205,194,1035,520,515,0,0,0,1501,936,565,1299,448,851,1532,817,715,1174,773,401,475,374,101,623,337,286,1,1,0,75,61,14,358,44,314,87,4,83,266,36,230,1,0,1,4,4,0,1268,567,701
33,22,3,1256200,0,0,VILLAGE,Pudupatti,Rural,379,1691,850,841,233,119,114,497,259,238,0,0,0,893,560,333,798,290,508,999,520,479,876,483,393,427,262,165,356,153,203,29,23,6,64,45,19,123,37,86,18,9,9,93,22,71,6,1,5,6,5,1,692,330,362
33,22,3,1256300,0,0,VILLAGE,Mattangal,Rural,501,2313,1132,1181,300,148,152,1089,527,562,0,0,0,1395,838,557,918,294,624,1355,673,682,1185,645,540,645,345,300,389,176,213,0,0,0,151,124,27,170,28,142,36,4,32,123,14,109,0,0,0,11,10,1,958,459,499
