STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,2,1250700,0,0,VILLAGE,Perambur,Rural,272,1432,701,731,179,80,99,293,133,160,0,0,0,602,406,196,830,295,535,701,393,308,691,391,300,308,194,114,181,81,100,103,53,50,99,63,36,10,2,8,1,0,1,9,2,7,0,0,0,0,0,0,731,308,423
33,22,2,1250800,0,0,VILLAGE,Killanur,Rural,396,1968,994,974,248,118,130,165,87,78,0,0,0,1163,741,422,805,253,552,1127,585,542,1122,580,542,525,301,224,522,224,298,5,3,2,70,52,18,5,5,0,0,0,0,3,3,0,1,1,0,1,1,0,841,409,432
33,22,2,1250900,0,0,VILLAGE,Veerakkudi,Rural,336,1766,881,885,281,154,127,283,151,132,0,0,0,774,472,302,992,409,583,827,551,276,544,487,57,341,315,26,152,132,20,17,15,2,34,25,9,283,64,219,6,4,2,277,60,217,0,0,0,0,0,0,939,330,609
33,22,2,1251000,0,0,VILLAGE,Kadambavayal,Rural,35,176,87,89,13,5,8,0,0,0,0,0,0,83,54,29,93,33,60,83,64,19,81,62,19,64,54,10,17,8,9,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,93,23,70
33,22,2,1251100,0,0,VILLAGE,Mangathevanpatti,Rural,396,1920,945,975,284,143,141,127,65,62,0,0,0,996,587,409,924,358,566,1177,590,587,1162,585,577,507,276,231,614,290,324,5,3,2,36,16,20,15,5,10,2,1,1,13,4,9,0,0,0,0,0,0,743,355,388
33,22,2,1251200,0,0,VILLAGE,Brihadambalpuram,Rural,70,320,167,153,35,23,12,48,28,20,0,0,0,187,108,79,133,59,74,193,104,89,193,104,89,104,65,39,68,26,42,0,0,0,21,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,63,64
33,22,2,1251300,0,0,VILLAGE,Kolathur,Rural,969,4530,2291,2239,551,291,260,976,502,474,0,0,0,2855,1604,1251,1675,687,988,2164,1352,812,2052,1294,758,887,494,393,504,240,264,31,15,16,630,545,85,112,58,54,7,2,5,71,28,43,2,1,1,32,27,5,2366,939,1427
33,22,2,1251400,0,0,VILLAGE,Odukkur,Rural,366,1812,929,883,203,90,113,512,260,252,0,0,0,1037,689,348,775,240,535,962,581,381,925,565,360,623,393,230,189,66,123,9,9,0,104,97,7,37,16,21,0,0,0,31,12,19,3,1,2,3,3,0,850,348,502
33,22,2,1251500,0,0,VILLAGE,Narthamalai,Rural,446,1950,981,969,254,127,127,538,264,274,0,0,0,1188,692,496,762,289,473,999,572,427,931,538,393,248,157,91,294,137,157,49,11,38,340,233,107,68,34,34,52,28,24,5,3,2,5,0,5,6,3,3,951,409,542
33,22,2,1251600,0,0,VILLAGE,Ammachattiram,Rural,573,2748,1389,1359,342,183,159,375,185,190,0,0,0,1717,1002,715,1031,387,644,1484,849,635,872,587,285,475,287,188,58,40,18,9,6,3,330,254,76,612,262,350,232,122,110,258,68,190,23,8,15,99,64,35,1264,540,724
33,22,2,1251700,0,0,VILLAGE,Uppiliyakkudi,Rural,482,2214,1115,1099,298,155,143,102,50,52,0,0,0,1182,707,475,1032,408,624,1204,666,538,604,457,147,202,188,14,162,123,39,73,7,66,167,139,28,600,209,391,68,17,51,517,186,331,7,1,6,8,5,3,1010,449,561
33,22,2,1251800,0,0,VILLAGE,Valamangalam,Rural,148,686,353,333,74,43,31,325,168,157,0,0,0,416,248,168,270,105,165,374,211,163,365,207,158,98,57,41,198,88,110,1,0,1,68,62,6,9,4,5,0,0,0,8,3,5,0,0,0,1,1,0,312,142,170
33,22,2,1251900,0,0,VILLAGE,Seemanur,Rural,102,530,268,262,62,31,31,79,37,42,0,0,0,300,193,107,230,75,155,341,185,156,340,185,155,285,150,135,25,11,14,0,0,0,30,24,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,189,83,106
33,22,2,1252000,0,0,VILLAGE,Senaiyakkudi,Rural,206,1039,509,530,119,51,68,213,110,103,0,0,0,638,389,249,401,120,281,665,326,339,663,325,338,559,284,275,63,24,39,7,2,5,34,15,19,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,374,183,191
33,22,2,1252100,0,0,VILLAGE,Andakkulam ,Rural,982,5152,2541,2611,710,356,354,815,417,398,0,0,0,2922,1651,1271,2230,890,1340,2454,1484,970,2006,1293,713,809,505,304,734,395,339,49,26,23,414,367,47,448,191,257,185,74,111,213,73,140,4,2,2,46,42,4,2698,1057,1641
33,22,2,1252200,0,0,VILLAGE,Sathinipatti,Rural,163,753,377,376,92,43,49,177,89,88,0,0,0,440,258,182,313,119,194,399,224,175,398,224,174,143,77,66,197,99,98,4,0,4,54,48,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,354,153,201
33,22,2,1252300,0,0,VILLAGE,Vaithur,Rural,701,3374,1658,1716,471,232,239,135,60,75,0,0,0,1702,1102,600,1672,556,1116,1883,991,892,1739,943,796,637,335,302,661,240,421,54,29,25,387,339,48,144,48,96,55,15,40,77,25,52,2,0,2,10,8,2,1491,667,824
33,22,2,1252400,0,0,VILLAGE,Siranganpatti,Rural,171,838,412,426,101,59,42,119,53,66,0,0,0,449,278,171,389,134,255,412,252,160,411,252,159,20,19,1,322,188,134,4,4,0,65,41,24,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,426,160,266
33,22,2,1252500,0,0,VILLAGE,Uthchani,Rural,132,686,320,366,84,42,42,168,73,95,0,0,0,411,226,185,275,94,181,400,189,211,90,56,34,66,37,29,0,0,0,5,3,2,19,16,3,310,133,177,2,1,1,305,130,175,2,1,1,1,1,0,286,131,155
33,22,2,1252600,0,0,VILLAGE,Thennangudi,Rural,86,430,199,231,65,29,36,151,74,77,0,0,0,260,136,124,170,63,107,256,126,130,228,117,111,136,59,77,44,20,24,1,1,0,47,37,10,28,9,19,15,5,10,7,2,5,0,0,0,6,2,4,174,73,101
