STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,6,1280500,0,0,VILLAGE,Neduvasal East,Rural,633,2928,1471,1457,328,165,163,965,472,493,0,0,0,2150,1224,926,778,247,531,1577,888,689,784,616,168,386,328,58,162,107,55,3,1,2,233,180,53,793,272,521,207,62,145,539,202,337,34,1,33,13,7,6,1351,583,768
33,22,6,1280600,0,0,VILLAGE,Andavarayapuram,Rural,149,736,371,365,81,44,37,0,0,0,0,0,0,534,305,229,202,66,136,341,219,122,274,198,76,127,93,34,43,27,16,0,0,0,104,78,26,67,21,46,48,10,38,12,7,5,0,0,0,7,4,3,395,152,243
33,22,6,1280700,0,0,VILLAGE,Chettiendal,Rural,16,72,34,38,8,4,4,0,0,0,0,0,0,42,22,20,30,12,18,39,22,17,13,13,0,7,7,0,5,5,0,0,0,0,1,1,0,26,9,17,6,4,2,20,5,15,0,0,0,0,0,0,33,12,21
33,22,6,1280800,0,0,VILLAGE,Anavayal I Bit,Rural,146,669,349,320,67,35,32,0,0,0,0,0,0,418,248,170,251,101,150,452,247,205,449,245,204,310,161,149,87,46,41,6,5,1,46,33,13,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,217,102,115
33,22,6,1280900,0,0,VILLAGE,Anavayal II Bit,Rural,284,1332,673,659,98,38,60,244,118,126,0,0,0,964,583,381,368,90,278,855,457,398,754,434,320,469,275,194,187,86,101,11,2,9,87,71,16,101,23,78,29,5,24,48,8,40,5,2,3,19,8,11,477,216,261
33,22,6,1281000,0,0,VILLAGE,Lakshminarasimhapuram,Rural,367,1810,910,900,166,69,97,0,0,0,0,0,0,1393,804,589,417,106,311,1156,592,564,1058,560,498,885,446,439,58,26,32,2,1,1,113,87,26,98,32,66,79,28,51,15,3,12,2,1,1,2,0,2,654,318,336
33,22,6,1281100,0,0,VILLAGE,Pulichangadu,Rural,280,1199,615,584,144,76,68,0,0,0,0,0,0,614,359,255,585,256,329,601,333,268,32,26,6,3,2,1,10,8,2,2,0,2,17,16,1,569,307,262,88,57,31,220,167,53,187,14,173,74,69,5,598,282,316
33,22,6,1281200,0,0,VILLAGE,Karambakkaduzamin,Rural,130,640,309,331,109,50,59,0,0,0,0,0,0,415,233,182,225,76,149,373,190,183,96,84,12,61,59,2,7,1,6,0,0,0,28,24,4,277,106,171,0,0,0,264,94,170,2,1,1,11,11,0,267,119,148
33,22,6,1281300,0,0,VILLAGE,Karambakkadu Zamin II Bit,Rural,106,467,241,226,33,22,11,0,0,0,0,0,0,343,205,138,124,36,88,160,133,27,127,114,13,95,92,3,16,8,8,1,0,1,15,14,1,33,19,14,0,0,0,29,15,14,0,0,0,4,4,0,307,108,199
33,22,6,1281400,0,0,VILLAGE,Seriyalur Inam I Bit,Rural,335,1378,717,661,134,75,59,78,41,37,0,0,0,1037,617,420,341,100,241,569,419,150,523,396,127,207,195,12,145,54,91,4,2,2,167,145,22,46,23,23,12,5,7,9,0,9,1,0,1,24,18,6,809,298,511
33,22,6,1281500,0,0,VILLAGE,Seriyalur Inam II Bit,Rural,255,1108,543,565,115,64,51,116,58,58,0,0,0,794,452,342,314,91,223,580,360,220,553,354,199,275,204,71,163,67,96,13,3,10,102,80,22,27,6,21,10,2,8,4,0,4,6,0,6,7,4,3,528,183,345
33,22,6,1281600,0,0,VILLAGE,Pannankulam,Rural,607,2773,1403,1370,289,153,136,160,82,78,0,0,0,2170,1213,957,603,190,413,1876,982,894,1695,905,790,1221,695,526,295,107,188,49,8,41,130,95,35,181,77,104,21,14,7,108,49,59,32,2,30,20,12,8,897,421,476
