STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,8,1299900,0,0,VILLAGE,Vellur siruvarai,Rural,234,1053,529,524,127,59,68,580,293,287,0,0,0,587,340,247,466,189,277,595,341,254,235,171,64,18,16,2,191,137,54,1,1,0,25,17,8,360,170,190,2,0,2,338,157,181,11,6,5,9,7,2,458,188,270
33,22,8,1300000,0,0,VILLAGE,Perumarudur,Rural,223,914,420,494,102,58,44,192,88,104,20,10,10,558,292,266,356,128,228,488,255,233,190,129,61,49,31,18,41,32,9,21,10,11,79,56,23,298,126,172,128,65,63,158,58,100,2,1,1,10,2,8,426,165,261
33,22,8,1300100,0,0,VILLAGE,Minnamoli,Rural,252,989,483,506,90,50,40,80,38,42,0,0,0,719,399,320,270,84,186,670,331,339,391,203,188,271,131,140,39,12,27,30,17,13,51,43,8,279,128,151,41,20,21,231,102,129,0,0,0,7,6,1,319,152,167
33,22,8,1300200,0,0,VILLAGE,Neikuppai,Rural,30,157,83,74,24,16,8,20,11,9,0,0,0,89,47,42,68,36,32,56,48,8,34,31,3,33,30,3,0,0,0,0,0,0,1,1,0,22,17,5,2,2,0,20,15,5,0,0,0,0,0,0,101,35,66
33,22,8,1300300,0,0,VILLAGE,Karamangalam,Rural,408,1854,872,982,239,118,121,226,98,128,0,0,0,1318,685,633,536,187,349,1048,582,466,185,162,23,96,88,8,0,0,0,3,3,0,86,71,15,863,420,443,849,410,439,7,3,4,0,0,0,7,7,0,806,290,516
33,22,8,1300400,0,0,VILLAGE,Chellappakottai   ,Rural,153,733,353,380,69,30,39,153,75,78,0,0,0,476,272,204,257,81,176,211,137,74,105,95,10,92,85,7,4,3,1,1,0,1,8,7,1,106,42,64,17,15,2,84,26,58,5,1,4,0,0,0,522,216,306
33,22,8,1300500,0,0,VILLAGE,Panavayal  ,Rural,225,1122,560,562,158,92,66,458,232,226,0,0,0,705,396,309,417,164,253,562,329,233,356,297,59,174,165,9,102,61,41,0,0,0,80,71,9,206,32,174,5,3,2,200,28,172,0,0,0,1,1,0,560,231,329
33,22,8,1300600,0,0,VILLAGE,Idaiyattimangalam,Rural,374,1552,800,752,213,119,94,350,185,165,0,0,0,1192,626,566,360,174,186,872,548,324,864,544,320,639,374,265,190,142,48,0,0,0,35,28,7,8,4,4,7,4,3,1,0,1,0,0,0,0,0,0,680,252,428
33,22,8,1300700,0,0,VILLAGE,Melastanam,Rural,628,3046,1492,1554,473,260,213,513,261,252,0,0,0,2082,1122,960,964,370,594,956,660,296,733,599,134,53,50,3,284,186,98,1,0,1,395,363,32,223,61,162,47,6,41,155,43,112,4,0,4,17,12,5,2090,832,1258
33,22,8,1300800,0,0,VILLAGE,Kandanivayal,Rural,27,121,57,64,13,4,9,0,0,0,0,0,0,87,49,38,34,8,26,51,42,9,39,30,9,28,20,8,3,3,0,0,0,0,8,7,1,12,12,0,1,1,0,0,0,0,0,0,0,11,11,0,70,15,55
33,22,8,1300900,0,0,VILLAGE,Mumpalai,Rural,786,3893,1886,2007,555,291,264,278,139,139,0,0,0,2520,1387,1133,1373,499,874,1380,1029,351,861,721,140,73,64,9,243,177,66,46,23,23,499,457,42,519,308,211,79,48,31,293,141,152,10,6,4,137,113,24,2513,857,1656
33,22,8,1301000,0,0,VILLAGE,Kallakkurichi,Rural,57,233,115,118,28,14,14,100,49,51,0,0,0,128,71,57,105,44,61,103,80,23,9,9,0,7,7,0,1,1,0,0,0,0,1,1,0,94,71,23,1,0,1,90,69,21,3,2,1,0,0,0,130,35,95
33,22,8,1301100,0,0,VILLAGE,Tandalai ,Rural,228,964,473,491,107,53,54,124,62,62,0,0,0,723,394,329,241,79,162,525,298,227,402,264,138,103,82,21,164,72,92,4,2,2,131,108,23,123,34,89,40,7,33,80,25,55,0,0,0,3,2,1,439,175,264
33,22,8,1301200,0,0,VILLAGE,Vellur,Rural,165,723,370,353,71,36,35,232,120,112,0,0,0,530,292,238,193,78,115,642,331,311,121,60,61,0,0,0,2,1,1,119,59,60,0,0,0,521,271,250,0,0,0,510,265,245,3,2,1,8,4,4,81,39,42
33,22,8,1301300,0,0,VILLAGE,Manalur,Rural,104,445,211,234,65,21,44,131,64,67,0,0,0,340,183,157,105,28,77,311,158,153,11,10,1,0,0,0,0,0,0,0,0,0,11,10,1,300,148,152,195,99,96,105,49,56,0,0,0,0,0,0,134,53,81
33,22,8,1301400,0,0,VILLAGE,Nelveli,Rural,198,847,420,427,122,57,65,123,57,66,0,0,0,486,297,189,361,123,238,506,260,246,110,82,28,63,43,20,24,21,3,1,1,0,22,17,5,396,178,218,83,35,48,307,142,165,2,0,2,4,1,3,341,160,181
33,22,8,1301500,0,0,VILLAGE,Melpappanur,Rural,60,271,133,138,34,13,21,33,14,19,0,0,0,173,101,72,98,32,66,148,84,64,40,33,7,25,20,5,0,0,0,1,0,1,14,13,1,108,51,57,1,1,0,107,50,57,0,0,0,0,0,0,123,49,74
33,22,8,1301600,0,0,VILLAGE,Kilpappanur,Rural,34,153,81,72,24,10,14,0,0,0,0,0,0,93,58,35,60,23,37,84,50,34,21,20,1,4,4,0,0,0,0,0,0,0,17,16,1,63,30,33,0,0,0,62,30,32,1,0,1,0,0,0,69,31,38
33,22,8,1301700,0,0,VILLAGE,Mandangudi,Rural,136,625,315,310,79,40,39,105,55,50,0,0,0,425,245,180,200,70,130,343,185,158,294,167,127,97,58,39,164,83,81,1,0,1,32,26,6,49,18,31,11,4,7,32,9,23,1,0,1,5,5,0,282,130,152
33,22,8,1301800,0,0,VILLAGE,Manamelkudi ,Rural,2421,12306,6181,6125,1689,841,848,1015,499,516,67,31,36,8883,4879,4004,3423,1302,2121,3993,3401,592,3788,3286,502,151,120,31,724,477,247,27,9,18,2886,2680,206,205,115,90,43,20,23,76,41,35,8,1,7,78,53,25,8313,2780,5533
33,22,8,1301900,0,0,VILLAGE,Avadaiyarpattinam,Rural,99,518,211,307,82,28,54,0,0,0,0,0,0,327,166,161,191,45,146,112,96,16,111,96,15,26,26,0,49,38,11,0,0,0,36,32,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,406,115,291
33,22,8,1302000,0,0,VILLAGE,Vichur  ,Rural,517,2477,1245,1232,339,191,148,318,161,157,1,0,1,1701,945,756,776,300,476,921,671,250,563,487,76,132,123,9,195,157,38,2,1,1,234,206,28,358,184,174,180,110,70,151,58,93,7,1,6,20,15,5,1556,574,982
33,22,8,1302100,0,0,VILLAGE,Karakathikkottai ,Rural,345,1538,761,777,186,97,89,191,96,95,0,0,0,1011,579,432,527,182,345,927,487,440,715,466,249,537,344,193,36,13,23,6,3,3,136,106,30,212,21,191,37,5,32,164,15,149,2,0,2,9,1,8,611,274,337
33,22,8,1302200,0,0,VILLAGE,Rettaiyalam,Rural,168,808,411,397,79,41,38,114,57,57,0,0,0,535,300,235,273,111,162,482,261,221,141,111,30,119,94,25,10,8,2,0,0,0,12,9,3,341,150,191,197,104,93,137,40,97,1,1,0,6,5,1,326,150,176
33,22,8,1302300,0,0,VILLAGE,M.Kadai Ranghunathapuram ,Rural,137,665,328,337,65,33,32,141,67,74,0,0,0,433,248,185,232,80,152,384,196,188,142,114,28,41,30,11,80,65,15,0,0,0,21,19,2,242,82,160,131,54,77,110,28,82,0,0,0,1,0,1,281,132,149
33,22,8,1302400,0,0,VILLAGE,Sattiyadi,Rural,80,352,173,179,31,20,11,43,23,20,0,0,0,175,101,74,177,72,105,191,94,97,191,94,97,86,45,41,72,30,42,28,14,14,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,79,82
