"CODE,N,6,0","NAME,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,8,0","T%_SC,N,7,2","M_SC,N,7,0","F_SC,N,7,0","SR_SC,N,7,0","T_ST,N,7,0","T%_ST,N,7,2","M_ST,N,6,0","F_ST,N,6,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,2","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
3,North Arcot Ambedkar,2066718,341,426067,4.9,1048055,1018663,1029,308033,157159,150874,1042,480029,11.72,242149,237880,1018,46311,1.14,23597,22714,1039,974786,55.43,613581,361205,1699,861897,28.43,587519,274378,2141,68253,0.22,4488,63765,70,1136568,22.07,456048,680520,670,631233,73.03,397983,233250,1706,117960,13.9,94306,23654,3987,112704,13.08,95230,17474,5450,259377,30.09,202502,56875,3560,364495,42.29,189767,174728,1086,5530,0.64,4317,1213,3559,1831,0.21,1397,434,3219,46130,5.35,32310,13820,2338,55067,6.39,46299,8768,5280,16763,1.94,15697,1066,14725,27818,3.23,24911,2907,8569,14411,1.67,14218,193,73668,70475,8.18,56101,14374,3903
5,Tiruvannamalai Sambuvarayar,1800051,298,381304,4.7,907424,892627,1017,281014,143125,137889,1038,413889,11.62,209247,204642,1023,60539,1.72,31019,29520,1051,762006,50.16,491069,270937,1812,811323,28.09,505635,305688,1654,48907,0.19,3495,45412,77,939821,22.13,398294,541527,736,699349,86.07,414727,284622,1457,49326,6.21,41099,8227,4996,62648,7.72,49809,12839,3880,340086,41.92,256140,83946,3051,351519,43.33,152720,198799,768,6721,0.83,5119,1602,3195,1023,0.13,748,275,2720,27553,3.4,21636,5917,3657,16817,2.07,14962,1855,8066,4956,0.61,4501,455,9892,16882,2.08,15123,1759,8597,5801,0.72,5710,91,62747,39965,4.93,28976,10989,2637
18,Ramanathapuram,901041,254,194261,4.6,446670,454371,983,134160,68389,65771,1040,189340,10.55,95032,94308,1008,484,0.03,274,210,1305,437135,57,269801,167334,1612,386285,27.91,251510,134775,1866,62434,0.24,2160,60274,36,452322,21.42,193000,259322,744,324376,83.96,202756,121620,1667,17916,4.65,11980,5936,2018,43993,11.39,36774,7219,5094,215984,55.91,146468,69516,2107,94928,24.57,43107,51821,832,13429,3.48,13146,283,46452,35,0.01,35,0,0,6200,1.61,1989,4211,472,9556,2.47,7945,1611,4932,2160,0.56,2046,114,17947,17042,4.41,15683,1359,11540,3122,0.81,3074,48,64042,23829,6.17,18017,5812,3100
15,Pasumpon Muthuramalinga Theva,789466,200,179956,4.4,385825,403641,956,104848,53373,51475,1037,149889,9.32,73585,76304,964,341,0.02,167,174,960,386904,56.51,240095,146809,1635,340046,27.47,216882,123164,1761,68912,0.36,2863,66049,43,380508,21.04,166080,214428,775,293232,86.19,180029,113203,1590,16531,4.91,13837,2694,5136,30283,8.91,23016,7267,3167,177177,52.1,122959,54218,2268,114208,33.59,55730,58478,953,1694,0.5,1233,461,2675,153,0.04,107,46,2326,2325,0.68,1467,858,1710,11761,3.46,10147,1614,6287,2445,0.72,2223,222,10014,9467,2.78,8204,1263,6496,2847,0.84,2767,80,34588,17969,5.28,12045,5924,2033
17,Kamarajar,979333,228,235936,4.2,489115,490218,998,141777,72816,68961,1056,235852,12.13,118800,117052,1015,1016,0.05,509,507,1004,466533,55.7,291473,175060,1665,511292,29.01,284075,227217,1250,25013,0.16,1585,23428,68,443028,20.77,203455,239573,849,365498,71.3,192345,173153,1111,94255,18.62,50725,43530,1165,51539,10.08,41005,10534,3893,138082,27.01,86784,51298,1692,222481,43.51,101425,121056,838,3965,0.78,3342,623,5364,970,0.19,794,176,4511,9919,1.94,4715,5204,906,79329,15.52,41158,38171,1078,5007,0.98,4852,155,31303,18910,3.7,17248,1662,10378,4965,0.97,4881,84,58107,27664,5.41,18876,8788,2148
21,Kanniyakumari,1341867,786,272862,4.9,674661,667206,1011,170182,86349,83833,1030,66168,2.46,32993,33175,995,4736,0.18,2379,2357,1009,946499,80.78,497614,448885,1109,390536,24.86,333556,56980,5854,20725,0.35,4722,16003,295,930606,25.07,336383,594223,566,260392,66.45,238042,22350,10651,50794,13.23,33391,17403,1919,79350,20.32,62123,17227,3606,57979,14.85,54545,3434,15884,172927,44.28,155543,17384,8947,28602,7.32,27165,1437,18904,884,0.23,789,95,8305,9970,2.55,3786,6184,612,26331,6.74,15181,11150,1362,14493,3.71,14424,69,209043,22100,5.66,19394,2706,7167,10311,2.64,10030,281,35694,46939,12.02,32699,14240,2296
9,Nilgiri,356784,200,81063,4.4,178910,177874,1006,41166,20845,20321,1026,100805,14.14,50448,50357,1002,17573,2.49,8900,8673,1026,211536,67.02,124472,87064,1430,152799,25.92,92476,60323,1533,5182,0.26,924,4258,217,198803,23.97,85510,113293,755,124703,81.52,69180,55523,1246,8561,5.7,6891,1670,4126,19535,12.78,16405,3130,5241,5495,3.6,4448,1047,4248,14574,9.54,8493,6081,1397,104490,68.38,56129,48361,1161,144,0.09,110,34,3235,233,0.15,174,59,2949,6609,4.33,5324,1285,4143,1719,1.13,1393,326,4273,4109,2.69,3747,362,10351,2414,1.58,2379,35,67971,13012,8.52,10279,2733,3761
19,Chidambaranar,856229,203,199408,4.3,412804,443425,931,117404,59920,57484,1042,191257,11.05,94631,96626,979,1333,0.08,647,686,943,497039,67.27,274848,222191,1237,384525,26.44,226398,158127,1432,22853,0.17,1453,21400,68,448851,21.6,184953,263898,701,285226,73.87,163528,121698,1344,48481,12.91,23023,25458,904,50818,13.22,39847,10971,3632,99517,25.88,67352,32165,2094,174384,45.35,86133,88251,976,10160,2.64,9359,801,11684,1165,0.3,684,481,1422,13432,3.49,3661,9771,375,31213,8.12,15707,15506,1013,3836,1,3655,181,20193,19594,5.1,18108,1486,12186,5982,1.56,5845,137,42664,25242,6.56,15894,9348,1700
20,Tirunelveli Kattabomman,1708656,263,402378,4.2,836798,871858,960,237412,121312,116100,1045,353056,10.07,172129,180927,951,5543,0.16,2704,2839,952,898313,61.06,526093,372220,1413,825430,27.35,467300,358130,1305,56999,0.24,4166,52833,79,826227,21.38,365332,460895,793,552952,66.77,337576,215376,1567,172307,21.09,49166,123141,399,100171,12.14,80558,19613,4107,228915,27.73,164236,64679,2539,306481,37.13,159071,147410,1079,15775,1.91,12695,3080,4122,1781,0.22,1574,207,7604,121685,14.74,13991,107694,130,43715,5.3,28521,15194,1877,6907,0.84,6654,253,26300,37216,4.51,34592,2624,13183,8534,1.03,8367,167,50102,54421,6.59,37599,16822,2235
221,Pondicherry,206901,913,38155,5.4,105842,101059,1047,31682,16178,15504,1043,58605,14.3,29587,29018,1020,0,0,0,0,0,107987,61.63,65734,42253,1556,81272,27.32,56533,24739,2285,2333,0.28,574,1759,326,123296,23.55,48735,74561,654,59505,73.21,38244,21261,1799,7241,8.92,6653,588,11315,14526,17.87,11636,2890,4026,10055,12.37,8385,1670,5021,46888,57.69,27387,19501,1404,2555,3.14,2466,89,27708,7,0.01,6,1,6000,310,0.38,236,74,3189,6055,7.45,5590,465,12022,876,1.08,827,49,16878,5036,6.2,3754,1282,2928,780,0.96,777,3,259000,8710,10.72,7105,1605,4427
222,Karaikal,83899,673,16727,5,41757,42142,991,11999,6070,5929,1024,19122,11.46,9617,9505,1012,0,0,0,0,0,53530,74.45,30079,23451,1283,27162,25.73,21584,5578,3869,739,0.11,90,649,139,55998,23.94,20083,35915,559,17663,64.74,13313,4350,3060,2379,9.04,2247,132,17023,7120,26.21,6024,1096,5496,3011,11.09,2809,202,13906,13817,50.87,9682,4135,2341,758,2.79,745,13,57308,77,0.28,77,0,0,96,0.35,63,33,1909,1794,6.6,1712,82,20878,489,1.8,472,17,27765,3069,11.3,2759,310,8900,364,1.34,363,1,363000,3687,13.57,2902,785,3697
1,Madras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Chengalpattu MGR,2558269,370,552084,4.6,1294644,1263625,1025,385524,195070,190454,1024,893164,17.64,451394,441770,1022,44913,0.89,22751,22162,1027,1207371,55.57,750965,456406,1645,1052389,28.2,721351,331038,2179,70790,0.2,5232,65558,80,1435090,22.2,568061,867029,655,794901,75.21,504861,290040,1741,115243,11.27,99832,15411,6478,142245,13.52,116658,25587,4559,253027,24.04,201274,51753,3889,521870,49.59,286445,235425,1217,16595,1.58,14855,1740,8537,3409,0.32,2287,1122,2038,31527,3,24245,7282,3329,67754,6.44,60598,7156,8468,15962,1.52,14989,973,15405,42491,4.04,36800,5691,6466,22739,2.16,22168,571,38823,77015,7.32,57690,19325,2985
