"CODE,N,5,0","NAME,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,7,0","T%_SC,N,7,2","M_SC,N,12,0","F_SC,N,12,0","SR_SC,N,12,0","T_ST,N,12,0","T%_ST,N,7,2","M_ST,N,12,0","F_ST,N,12,0","SR_ST,N,12,0","T_LITTERAT,N,12,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,12,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,12,0","F_WORKERS,N,12,0","SR_WORKERS,N,12,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,12,0","F_MARGINAL,N,12,0","SR_MARGINA,N,12,0","T_NONWORK,N,12,0","T%_NONWORK,N,14,2","M_NONWORK,N,12,0","F_NONWORK,N,12,0","SR_NONWORK,N,12,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,12,0","T_SECUND,N,12,0","T%_SECUND,N,12,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,12,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,12,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,12,0","T%_MINING,N,11,2","M_MINING,N,12,0","F_MINING,N,12,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,12,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,12,0","F_CONSTRUC,N,12,0","SR_CONSTRU,N,12,0","T_TRADE,N,12,0","T%_TRADE,N,11,2","M_TRADE,N,12,0","F_TRADE,N,12,0","SR_TRADE,N,12,0","T_TRANSPOR,N,12,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,12,0","F_TRANSPOR,N,12,0","SR_TRANSPO,N,12,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,12,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","LU_FOREST,N,11,2","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,2","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,2","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,2","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,2","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1901,Kovilpatti,Chidambaranar,176244,192,41588,4.2,86337,89907,960,24239,12344,11895,1038,46627,13.06,23014,23613,975,388,0.1,181,207,874,91109,59.94,54712,36397,1503,94146,28.05,49442,44704,1106,2832,0.11,191,2641,72,79266,20.83,36704,42562,862,67379,71.41,35058,32321,1085,17134,18.36,6850,10284,666,9633,10.23,7534,2099,3589,22295,30.05,13883,8412,1650,43896,46.63,20177,23719,851,1041,0.01,866,175,4949,147,0.16,132,15,8800,3421,3.63,635,2786,228,12502,13.28,5014,7488,670,1211,1.29,1201,10,120100,3639,3.87,3270,369,8862,1008,1.07,989,19,52053,4986,5.3,3275,1711,1914,1475.69,1.6,6650.69,13.98,40928.6,86.02,28945.97,31.45,14028.59,15.24,4914.46,0,1714.73,0,21.62,0,0,0
1903,Ottappidaram,Chidambaranar,109627,150,25382,4.3,54033,55594,972,15507,7864,7643,1029,40198,18.34,20111,20087,1001,340,0.15,166,174,954,59652,63.38,35052,24600,1425,55881,27.64,30297,25584,1184,2149,0.18,202,1947,104,51597,21.47,23534,28063,839,44496,79.16,22321,22175,1007,4618,8.73,2629,1989,1322,6767,12.11,5347,1420,3765,16708,20.88,9938,6770,1468,26118,46.74,10954,15164,722,1409,0.03,1335,74,18041,261,0.47,94,167,563,947,1.69,503,444,1133,3197,5.72,1665,1532,1087,474,0.85,461,13,35462,1914,3.43,1761,153,11510,1447,2.59,1422,25,56880,3406,6.1,2164,1242,1742,992.2,1.36,5031.29,8.87,52406.62,91.13,1151.93,1.6,12653.96,17.73,2860.91,20.45,2297.37,0,0,0,0,0
1904,Tuticorin,Chidambaranar,47514,209,11006,4.3,23210,24304,955,6488,3296,3192,1033,9831,10.32,4902,4929,995,154,0.18,84,70,1200,30588,74.56,16890,13698,1233,19970,25.81,12261,7709,1590,1329,0.22,103,1226,84,26215,22.83,10846,15369,706,13841,66.56,7430,6411,1159,2032,12.92,1467,565,2596,4097,20.52,3364,733,4589,4170,30.02,2649,1521,1742,8808,44.11,4177,4631,902,315,0.02,263,52,5058,548,2.74,341,207,1647,707,3.54,303,404,750,937,4.69,818,119,6874,388,1.94,346,42,8238,1098,5.5,1014,84,12071,916,4.59,897,19,47211,2083,10.43,1453,630,2306,0,0,2120.16,17.66,9882.32,82.34,6523.21,28.73,4180.79,18.41,834.3,0,1285.86,0,0,0,0,0
1905,Srivaikuntam,Chidambaranar,150862,270,35811,4.2,72840,78022,934,20810,10612,10198,1041,34291,11.17,16853,17438,966,316,0.1,154,162,951,86056,66.17,48001,38055,1261,62286,26.53,40031,22255,1799,2823,0.12,176,2647,66,85753,21.63,32633,53120,614,48199,77.23,29911,18288,1636,5423,8.86,2955,2468,1197,8664,13.91,7165,1499,4780,18700,19.98,13632,5068,2690,28611,45.93,15528,13083,1187,792,0.01,710,82,8659,96,0.15,41,55,745,2263,3.63,745,1518,491,2677,4.3,1759,918,1916,483,0.78,451,32,14094,3884,6.24,3671,213,17235,870,1.4,852,18,47333,3910,6.28,2642,1268,2084,71.55,3.82,10699.16,51.44,10107.52,48.56,13811.17,24.74,19082.36,34.18,1153.99,0,6510.9,0,0,3043.3,0,0
1906,Tiruchchendur,Chidambaranar,139821,419,31585,4.4,65878,73943,891,18070,9244,8826,1047,24714,8.65,12097,12617,959,67,0.02,31,36,861,94180,77.35,46796,47384,988,45803,23.73,33174,12629,2627,3826,0.15,213,3613,59,90192,23.24,32491,57701,563,31068,67.82,22454,8614,2607,5401,11.8,3364,2037,1651,9334,20.38,7356,1978,3719,9151,17.79,7659,1492,5133,18612,40.63,11660,6952,1677,3302,0.07,3132,170,18424,3,0.01,3,0,0,1834,4,368,1466,251,3096,6.76,2581,515,5012,471,1.03,415,56,7411,4105,8.96,3884,221,17575,821,1.79,797,24,33208,4408,9.62,2675,1733,1544,0,15.51,8438.59,57.24,6306.36,42.76,7994.42,23.98,5423.15,16.27,2159,0,5467.06,0,0,809.24,0,5.59
1907,Sattankulam,Chidambaranar,81288,236,18769,4.3,36765,44523,826,11736,5992,5744,1043,5927,3.39,2759,3168,871,16,0.01,9,7,1286,53062,76.29,25141,27921,900,28462,22.49,18282,10180,1796,5105,0.47,380,4725,80,47721,22.27,18103,29618,611,18480,64.74,13261,5219,2541,5125,18.2,1516,3609,420,4857,17.06,3505,1352,2592,5062,26.57,4509,553,8154,11485,40.35,7014,4471,1569,1878,0.07,1716,162,10593,55,0.19,22,33,667,2290,8.05,200,2090,96,2558,8.99,1045,1513,691,277,0.97,271,6,45167,2171,7.63,2012,159,12654,348,1.22,331,17,19471,2338,8.21,1162,1176,988,904.33,2.63,3285.98,17.96,14988.64,82.04,9222.82,26.84,5904.25,17.18,3217.99,0,77.64,0,0,0,0,0
1008,Udumalaippettai,Coimbatore,287942,198,72967,3.9,146004,141938,1029,29703,15188,14515,1046,64144,11.25,32385,31759,1020,2253,0.41,1185,1068,1110,139740,54.11,86945,52795,1647,157607,33.21,95618,61989,1542,3227,0.07,191,3036,63,127108,17.43,50195,76913,653,121239,76.79,66792,54447,1227,18613,11.94,14537,4076,3566,17755,11.27,14289,3466,4123,31220,0,22299,8921,2500,88914,56.42,43658,45256,965,896,0.01,691,205,3371,209,0.13,144,65,2215,3436,2.18,2132,1304,1635,12640,8.02,10171,2469,4119,2537,1.61,2234,303,7373,6992,4.44,5971,1021,5848,1548,0.98,1476,72,20500,9215,5.85,6842,2373,2883,42617.08,34.62,52799.62,66.4,26721.88,33.6,147.64,0.1,14379.64,9.9,8037.88,0,733.92,0,466.82,43560.84,0,0
1002,Avanashi,Coimbatore,172145,277,44375,3.9,87896,84249,1043,17927,9112,8815,1034,42015,12.51,21531,20484,1051,1106,0.32,557,549,1015,73940,47.95,47478,26462,1794,90638,35.04,60313,30325,1989,8215,0.07,125,8090,15,73292,15.95,27458,45834,599,65361,72.01,40399,24962,1618,16847,18.69,13127,3720,3529,8430,9.3,6787,1643,4131,24761,12.54,18553,6208,2989,40133,44.28,21541,18592,1159,374,0,223,151,1477,93,0.1,82,11,7455,3167,3.49,2146,1021,2102,12177,13.43,9660,2517,3838,1503,1.66,1321,182,7258,3288,3.63,2781,507,5485,1209,1.33,1176,33,35636,3933,4.34,2830,1103,2566,0,0,13489,25.06,40344,74.94,1244,2,7073.54,11.38,13467,0,22,0,0,0,0,0
1001,Mettuppalaiyam,Coimbatore,122763,165,31391,3.9,62662,60101,1043,13271,6832,6439,1061,21096,8.83,10840,10256,1057,6018,2.5,3075,2943,1045,59741,54.56,36789,22952,1603,56568,32.59,40012,16556,2417,2922,0.16,202,2720,74,63273,18.29,22448,40825,550,38449,67.91,25247,13202,1912,10556,18.72,8773,1783,4920,7563,13.37,5992,1571,3814,12738,27.32,9832,2906,3383,24787,43.82,14822,9965,1487,888,0.02,564,324,1741,36,0.06,29,7,4143,3044,5.38,2205,839,2628,6083,10.75,5333,750,7111,1429,2.53,1235,194,6366,2603,4.6,2175,428,5082,1187,2.1,1066,121,8810,3773,6.67,2751,1022,2692,2370.48,55.57,7076.3,35.96,12602.79,64.04,7893.19,10.63,5081.03,6.84,6488.3,0,20,0,568,0,0,0
1006,Palladam,Coimbatore,259940,297,67991,3.8,133086,126854,1049,26705,13698,13007,1053,52240,10.21,26533,25707,1032,28,0,12,16,750,135331,58.02,84442,50889,1659,129230,33.83,87944,41286,2130,2596,0.05,138,2458,56,128114,17.31,45004,83110,541,72995,56.36,41999,30996,1355,41095,31.92,33614,7481,4493,15140,11.72,12331,2809,4390,25968,19.95,17756,8212,2162,45041,34.85,22559,22482,1003,1829,0.01,1596,233,6850,157,0.12,88,69,1275,8894,6.88,6646,2248,2956,29714,22.99,24899,4815,5171,2487,1.92,2069,418,4950,4863,3.76,4071,792,5140,2423,1.87,2336,87,26851,7854,6.08,5924,1930,3069,0,0,24154.01,51.96,22334.44,48.04,29594.36,33.79,11512.52,13.14,0,0,24154.01,0,0,0,0,0
